Ds Município;Dose;Contagem de Id Vacinacao
PRADÓPOLIS;2° Dose;318
OUROESTE;2° Dose;476
SANTA BRANCA;2° Dose;350
TORRINHA;2° Dose;389
BANANAL;2° DOSE;411
MARACAÍ;2° Dose;470
PACAEMBU;2° Dose;273
TABATINGA;2° DOSE;394
SALESÓPOLIS;2° Dose;367
PIRANGI;2° Dose;359
PINHALZINHO;2° Dose;343
GUAPIARA;2° Dose;361
TAPIRATIBA;2° Dose;403
QUATÁ;2° Dose;419
SÃO SIMÃO;2° Dose;400
PARAPUÃ;2° Dose;317
PATROCÍNIO PAULISTA;2° Dose;434
POTIM;2° Dose;634
IGARAÇU DO TIETÊ;2° Dose;308
JOANÓPOLIS;2° Dose;399
CARDOSO;2° Dose;389
JACUPIRANGA;2° Dose;392
URÂNIA;2° Dose;483
CESÁRIO LANGE;2° Dose;359
FLÓRIDA PAULISTA;2° Dose;450
NEVES PAULISTA;2° Dose;414
PANORAMA;2° Dose;380
ITATINGA;2° DOSE;366
IPAUSSU;2° DOSE;428
ITARIRI;2° Dose;443
MIRACATU;2° Dose;408
PALMEIRA D'OESTE;2° Dose;461
PALESTINA;2° Dose;418
PEDREGULHO;2° Dose;462
AURIFLAMA;2° Dose;422
UCHOA;2° Dose;437
IBIRÁ;2° Dose;424
BURITAMA;2° DOSE;478
URUPÊS;2° Dose;522
ALTINÓPOLIS;2° Dose;473
TABAPUÃ;2° Dose;534
BERNARDINO DE CAMPOS;2° Dose;406
PARAIBUNA;2° Dose;445
ITAPORANGA;2° Dose;404
JUQUIÁ;2° Dose;351
BADY BASSITT;2° Dose;672
ITABERÁ;2° Dose;372
PARANAPANEMA;2° Dose;499
MACATUBA;2° DOSE;512
GENERAL SALGADO;2° Dose;452
BORBOREMA;2° Dose;408
SANTA GERTRUDES;2° Dose;541
NHANDEARA;2° Dose;409
ÁGUAS DE LINDÓIA;2° Dose;418
SANTO ANTÔNIO DE POSSE;2° DOSE;588
NAZARÉ PAULISTA;2° Dose;354
BOM JESUS DOS PERDÕES;2° Dose;375
IPERÓ;2° Dose;423
IRACEMÁPOLIS;2° Dose;515
DUARTINA;2° Dose;473
SANTA ROSA DE VITERBO;2° Dose;435
ANGATUBA;2° Dose;476
VIRADOURO;2° DOSE;410
CONCHAS;2° Dose;466
GUAPIAÇU;2° Dose;608
REGENTE FEIJÓ;2° Dose;474
ITAJOBI;2° Dose;532
PIRATININGA;2° DOSE;667
MONTE AZUL PAULISTA;2° DOSE;555
FARTURA;2° Dose;530
CAJATI;2° Dose;582
CORDEIRÓPOLIS;2° Dose;421
MIRANTE DO PARANAPANEMA;2° Dose;600
SANTA ADÉLIA;2° Dose;663
POTIRENDABA;2° Dose;661
DIVINOLÂNDIA;2° Dose;603
APIAÍ;2° Dose;566
PINDORAMA;2° Dose;657
TEODORO SAMPAIO;2° Dose;551
CERQUEIRA CÉSAR;2° DOSE;544
CUNHA;2° Dose;533
CASTILHO;2° Dose;625
CACONDE;2° DOSE;459
ITAÍ;2° DOSE;524
MIGUELÓPOLIS;2° Dose;569
BASTOS;2° Dose;625
ROSANA;2° Dose;560
TAMBAÚ;2° Dose;654
BARRINHA;2° Dose;649
IBATÉ;2° DOSE;567
BROTAS;2° DOSE;582
LUCÉLIA;2° Dose;784
SERRANA;2° Dose;959
CONCHAL;2° Dose;697
NOVA GRANADA;2° Dose;662
JARINU;2° DOSE;690
CAJURU;2° Dose;732
CRAVINHOS;2° Dose;613
GUARÁ;2° Dose;719
PRESIDENTE BERNARDES;2° Dose;703
BIRITIBA MIRIM;2° Dose;592
CABREÚVA;2° DOSE;757
PILAR DO SUL;2° Dose;647
SANTO ANASTÁCIO;2° Dose;727
PIRAPOZINHO;2° Dose;644
GUARIBA;2° Dose;714
RIO GRANDE DA SERRA;2° Dose;851
PIRAJUÍ;2° Dose;647
VALPARAÍSO;2° Dose;780
BRODOWSKI;2° Dose;887
TUPI PAULISTA;2° Dose;789
TAQUARITUBA;2° Dose;719
ÁLVARES MACHADO;2° Dose;613
JUNQUEIRÓPOLIS;2° Dose;749
PIRACAIA;2° Dose;640
RIO DAS PEDRAS;2° Dose;769
MARTINÓPOLIS;2° Dose;674
LARANJAL PAULISTA;2° Dose;841
MORRO AGUDO;2° Dose;867
DOIS CÓRREGOS;2° Dose;801
PONTAL;2° Dose;817
ORLÂNDIA;2° Dose;1089
GUARAREMA;2° Dose;733
SÃO MIGUEL ARCANJO;2° Dose;668
IGARAPAVA;2° Dose;800
ARAÇOIABA DA SERRA;2° Dose;653
PITANGUEIRAS;2° Dose;1012
JUQUITIBA;2° Dose;865
ILHABELA;2° Dose;1006
ITUPEVA;2° DOSE;868
CERQUILHO;2° Dose;904
POMPÉIA;2° Dose;864
PALMITAL;2° DOSE;895
AGUAÍ;2° Dose;910
PARIQUERA-AÇU;2° Dose;1086
LOUVEIRA;2° DOSE;954
JARDINÓPOLIS;2° Dose;1008
APARECIDA;2° Dose;1016
MONTE APRAZÍVEL;2° Dose;1070
PIEDADE;2° Dose;363
PEREIRA BARRETO;2° Dose;863
SANTA CRUZ DAS PALMEIRAS;2° Dose;1037
VARGEM GRANDE PAULISTA;2° Dose;1050
CACHOEIRA PAULISTA;2° Dose;886
CASA BRANCA;2° Dose;1154
IGUAPE;2° Dose;814
ELDORADO;2° Dose;1489
CÂNDIDO MOTA;2° DOSE;853
MIRANDÓPOLIS;2° DOSE;1157
SÃO PEDRO;2° Dose;867
RANCHARIA;2° Dose;949
SÃO MANUEL;2° DOSE;847
ITARARÉ;2° Dose;948
PARAGUAÇU PAULISTA;2° DOSE;1070
TANABI;2° Dose;1127
ILHA SOLTEIRA;2° DOSE;967
GUARARAPES;2° DOSE;1089
BOITUVA;2° Dose;1054
GUAÍRA;2° DOSE;1172
ITUVERAVA;2° Dose;1336
PROMISSÃO;2° DOSE;1141
AMÉRICO BRASILIENSE;2° DOSE;1322
MONTE MOR;2° DOSE;832
CAPÃO BONITO;2° Dose;898
PIRAJU;2° Dose;980
SANTA RITA DO PASSA QUATRO;2° Dose;1160
TIETÊ;2° Dose;1155
MAIRINQUE;2° Dose;1032
COSMÓPOLIS;2° Dose;965
SERRA NEGRA;2° DOSE;1056
NOVA ODESSA;2° Dose;1027
PEDERNEIRAS;2° DOSE;1102
JAGUARIÚNA;2° DOSE;1196
BERTIOGA;2° Dose;1325
BARIRI;2° DOSE;1139
JOSÉ BONIFÁCIO;2° Dose;1353
PORTO FELIZ;2° Dose;1276
OSVALDO CRUZ;2° Dose;1334
SALTO DE PIRAPORA;2° Dose;1173
CAJAMAR;2° Dose;1037
ARTUR NOGUEIRA;2° Dose;1074
PRESIDENTE EPITÁCIO;2° Dose;1080
CAMPOS DO JORDÃO;2° Dose;1383
BARRA BONITA;2° Dose;1248
ITÁPOLIS;2° Dose;1370
AGUDOS;2° Dose;1441
PEDREIRA;2° Dose;1203
DESCALVADO;2° DOSE;1220
SANTA ISABEL;2° Dose;1275
CAPIVARI;2° Dose;1417
CAMPO LIMPO PAULISTA;2° DOSE;1520
TREMEMBÉ;2° Dose;1946
SOCORRO;2° DOSE;1126
BATATAIS;2° Dose;1800
GARÇA;2° Dose;1541
NOVO HORIZONTE;2° Dose;1639
JANDIRA;2° Dose;1740
SÃO JOAQUIM DA BARRA;2° Dose;2115
MONGAGUÁ;2° Dose;1020
ARUJÁ;2° Dose;1530
IBIÚNA;2° Dose;1577
PORTO FERREIRA;2° DOSE;1198
SANTA CRUZ DO RIO PARDO;2° Dose;1489
SANTA FÉ DO SUL;2° Dose;1750
PRESIDENTE VENCESLAU;2° Dose;1480
EMBU-GUAÇU;2° Dose;2024
VARGEM GRANDE DO SUL;2° Dose;2064
VOTORANTIM;2° Dose;2132
SÃO JOSÉ DO RIO PARDO;2° Dose;1480
ADAMANTINA;2° Dose;1764
ESPÍRITO SANTO DO PINHAL;2° Dose;1808
IBITINGA;2° DOSE;1814
VÁRZEA PAULISTA;2° DOSE;1434
MONTE ALTO;2° Dose;1797
LENÇÓIS PAULISTA;2° DOSE;1663
MIRASSOL;2° Dose;1610
OLÍMPIA;2° DOSE;1813
ITAPIRA;2° Dose;2301
REGISTRO;2° Dose;2166
VINHEDO;2° DOSE;2116
SÃO SEBASTIÃO;2° Dose;2153
PERUÍBE;2° Dose;1552
CRUZEIRO;2° Dose;2180
POÁ;2° Dose;2835
ANDRADINA;2° DOSE;2334
MAIRIPORÃ;2° Dose;1740
BEBEDOURO;2° DOSE;1991
CAÇAPAVA;2° Dose;2269
TAQUARITINGA;2° Dose;2328
UBATUBA;2° Dose;2362
CAIEIRAS;2° Dose;2053
LORENA;2° Dose;2406
MATÃO;2° DOSE;2301
AMPARO;2° DOSE;2390
SÃO ROQUE;2° Dose;2150
PAULÍNIA;2° DOSE;2139
DRACENA;2° Dose;2723
JALES;2° Dose;2409
PENÁPOLIS;2° DOSE;2426
MOCOCA;2° Dose;2393
SANTANA DE PARNAÍBA;2° Dose;2477
JABOTICABAL;2° Dose;2468
SALTO;2° Dose;3325
ITAPEVA;2° Dose;2564
TUPÃ;2° Dose;2778
FRANCISCO MORATO;2° Dose;2766
CUBATÃO;2° Dose;2609
PIRASSUNUNGA;2° Dose;2876
FERRAZ DE VASCONCELOS;2° Dose;3268
VALINHOS;2° DOSE;2649
LEME;2° Dose;2993
LINS;2° DOSE;3304
ITAPECERICA DA SERRA;2° Dose;3554
BIRIGUI;2° DOSE;2548
SERTÃOZINHO;2° Dose;3610
AVARÉ;2° DOSE;3097
CARAGUATATUBA;2° Dose;3407
ITATIBA;2° DOSE;3164
ITANHAÉM;2° Dose;3707
ITAPEVI;2° Dose;3523
MOGI MIRIM;2° Dose;3448
RIBEIRÃO PIRES;2° Dose;4278
ITAQUAQUECETUBA;2° Dose;3780
GUARATINGUETÁ;2° Dose;3729
FERNANDÓPOLIS;2° Dose;4004
FRANCO DA ROCHA;2° Dose;3435
TATUÍ;2° Dose;3697
COTIA;2° Dose;4485
EMBU DAS ARTES;2° Dose;5441
PINDAMONHANGABA;2° Dose;4160
OURINHOS;2° DOSE;3763
ASSIS;2° DOSE;4373
HORTOLÂNDIA;2° DOSE;4335
ARARAS;2° Dose;4037
SANTA BÁRBARA D'OESTE;2° DOSE;3890
VOTUPORANGA;2° Dose;4525
SÃO JOÃO DA BOA VISTA;2° Dose;4683
MOGI GUAÇU;2° Dose;4548
ITU;2° Dose;4817
JAÚ;2° DOSE;5697
ATIBAIA;2° DOSE;5287
BARRETOS;2° DOSE;6149
BRAGANÇA PAULISTA;2° DOSE;5930
ITAPETININGA;2° Dose;5733
CATANDUVA;2° Dose;6708
AMERICANA;2° DOSE;6852
SUMARÉ;2° DOSE;5913
CARAPICUÍBA;2° Dose;5623
LIMEIRA;2° Dose;4327
TABOÃO DA SERRA;2° Dose;7381
BOTUCATU;2° DOSE;6827
SUZANO;2° Dose;6546
GUARUJÁ;2° Dose;5596
BARUERI;2° DOSE;8540
INDAIATUBA;2° DOSE;6229
TAUBATÉ;2° Dose;5220
JACAREÍ;2° Dose;7420
PRAIA GRANDE;2° Dose;6973
ARAÇATUBA;2° DOSE;7553
RIO CLARO;2° Dose;8681
FRANCA;2° Dose;7081
DIADEMA;2° Dose;8943
MARÍLIA;2° Dose;10343
PRESIDENTE PRUDENTE;2° Dose;9503
SÃO CARLOS;2° DOSE;8957
MAUÁ;2° DOSE;11561
SÃO CAETANO DO SUL;2° Dose;10706
SÃO VICENTE;2° Dose;9615
ARARAQUARA;2° DOSE;10422
MOGI DAS CRUZES;2° Dose;12124
PIRACICABA;2° Dose;12593
JUNDIAÍ;2° DOSE;11915
SOROCABA;2° Dose;16378
OSASCO;2° Dose;13590
BAURU;2° DOSE;17610
SÃO JOSÉ DO RIO PRETO;2° Dose;23320
SÃO JOSÉ DOS CAMPOS;2° Dose;21930
SANTO ANDRÉ;2° Dose;23671
SANTOS;2° Dose;25831
RIBEIRÃO PRETO;2° Dose;22712
GUARULHOS;2° Dose;28100
SÃO BERNARDO DO CAMPO;2° DOSE;25352
CAMPINAS;2° DOSE;41659
SÃO PAULO;2° DOSE;429459
BORÁ;1° DOSE;131
NOVA CASTILHO;1° Dose;140
MESÓPOLIS;1° Dose;134
SAGRES;1° Dose;168
TRABIJU;1° Dose;184
BOREBI;1° Dose;220
PAULISTÂNIA;1° Dose;210
FERNÃO;1° Dose;223
URU;1° DOSE;231
PRACINHA;1° Dose;209
BOM SUCESSO DE ITARARÉ;1° Dose;224
UNIÃO PAULISTA;1° Dose;211
MACEDÔNIA;1° Dose;212
CRUZÁLIA;1° Dose;224
DIRCE REIS;1° Dose;241
ESTRELA DO NORTE;1° Dose;242
SANTA CRUZ DA ESPERANÇA;1° Dose;247
NOVAIS;1° Dose;262
QUADRA;1° Dose;273
ZACARIAS;1° Dose;262
VITÓRIA BRASIL;1° Dose;249
SANTANA DA PONTE PENSA;1° Dose;283
SÃO JOÃO DE IRACEMA;1° Dose;247
ASPÁSIA;1° DOSE;251
SÃO JOÃO DAS DUAS PONTES;1° Dose;279
JUMIRIM;1° Dose;273
BENTO DE ABREU;1° Dose;279
BALBINOS;1° Dose;269
NANTES;1° Dose;251
SABINO;1° Dose;319
ARAPEÍ;1° Dose;258
GUARANI D'OESTE;1° Dose;269
ÓLEO;1° Dose;297
JOÃO RAMALHO;1° Dose;291
NOVA GUATAPORANGA;1° Dose;312
GABRIEL MONTEIRO;1° Dose;313
SANTA SALETE;1° Dose;284
PARISI;1° Dose;295
NOVA INDEPENDÊNCIA;1° Dose;292
BREJO ALEGRE;1° Dose;340
LUCIANÓPOLIS;1° Dose;330
QUEIROZ;1° Dose;295
EMBAÚBA;1° Dose;314
PLATINA;1° DOSE;318
SANTA CLARA D'OESTE;1° Dose;287
PONTES GESTAL;1° Dose;316
TURIÚBA;1° Dose;302
NOVA CANAÃ PAULISTA;1° Dose;337
SANDOVALINA;1° Dose;310
JÚLIO MESQUITA;1° Dose;330
TAQUARIVAÍ;1° Dose;312
AREIAS;1° Dose;277
MARINÓPOLIS;1° Dose;316
RUBIÁCEA;1° Dose;308
DOLCINÓPOLIS;1° Dose;337
LOURDES;1° Dose;317
PONTALINDA;1° Dose;350
NOVA LUZITÂNIA;1° Dose;334
RIFAINA;1° Dose;346
CÁSSIA DOS COQUEIROS;1° Dose;331
CANAS;1° Dose;323
ÁLVARO DE CARVALHO;1° Dose;364
ITAPIRAPUÃ PAULISTA;1° Dose;357
MOTUCA;1° Dose;359
ITAJU;1° Dose;345
TEJUPÁ;1° Dose;362
CANITAR;1° Dose;338
ESPÍRITO SANTO DO TURVO;1° Dose;351
NIPOÃ;1° Dose;374
TAQUARAL;1° Dose;328
JERIQUARA;1° Dose;354
MARABÁ PAULISTA;1° Dose;366
PRESIDENTE ALVES;1° Dose;364
RIBEIRÃO CORRENTE;1° Dose;341
BARRA DO CHAPÉU;1° Dose;365
FLORÍNEA;1° Dose;333
ALVINLÂNDIA;1° Dose;371
MARIÁPOLIS;1° Dose;343
TORRE DE PEDRA;1° Dose;367
PRATÂNIA;1° Dose;373
SUZANÁPOLIS;1° Dose;388
MOMBUCA;1° Dose;302
SÃO JOÃO DO PAU D'ALHO;1° Dose;378
MONÇÕES;1° Dose;378
ELISIÁRIO;1° Dose;387
FLORA RICA;1° Dose;394
OSCAR BRESSANE;1° Dose;376
TURMALINA;1° Dose;389
PEDRANÓPOLIS;1° Dose;391
CAMPOS NOVOS PAULISTA;1° Dose;388
LUTÉCIA;1° Dose;378
SANTA MERCEDES;1° Dose;395
SÃO JOSÉ DO BARREIRO;1° Dose;389
MIRA ESTRELA;1° Dose;390
SANTA ERNESTINA;1° Dose;401
MARAPOAMA;1° Dose;397
RUBINÉIA;1° Dose;383
PEDRINHAS PAULISTA;1° Dose;397
SÃO FRANCISCO;1° Dose;432
TIMBURI;1° Dose;417
RIBEIRA;1° Dose;419
PARANAPUÃ;1° Dose;422
