Municipio;Dose;Contagem de Id Vacinacao
JARINU;2° Dose;298
ITARARÉ;2° Dose;66
CAJURU;2° Dose;234
MIGUELÓPOLIS;2° Dose;332
MONTE APRAZÍVEL;2° Dose;270
JUQUITIBA;2° Dose;308
TUPI PAULISTA;2° Dose;280
GUARARAPES;2° Dose;271
JAGUARIÚNA;2° Dose;129
SÃO PEDRO;2° Dose;246
VALPARAÍSO;2° Dose;406
POMPÉIA;2° Dose;297
GUARAREMA;2° Dose;276
PONTAL;2° Dose;354
SANTA CRUZ DAS PALMEIRAS;2° Dose;358
LARANJAL PAULISTA;2° Dose;327
PIRAJUÍ;2° Dose;252
IBIÚNA;2° Dose;245
RIO GRANDE DA SERRA;2° Dose;342
TANABI;2° Dose;303
CAPÃO BONITO;2° Dose;317
PEREIRA BARRETO;2° Dose;351
PIEDADE;2° Dose;227
PITANGUEIRAS;2° Dose;376
MONGAGUÁ;2° Dose;227
ITUPEVA;2° Dose;432
SÃO MANUEL;2° Dose;345
MONTE MOR;2° Dose;383
SERRANA;2° Dose;267
VARGEM GRANDE PAULISTA;2° Dose;265
LOUVEIRA;2° Dose;423
CERQUILHO;2° Dose;310
JARDINÓPOLIS;2° Dose;400
SERRA NEGRA;2° Dose;244
NOVA ODESSA;2° Dose;292
MORRO AGUDO;2° Dose;441
APARECIDA;2° Dose;410
ILHA SOLTEIRA;2° Dose;381
GUAÍRA;2° Dose;385
JOSÉ BONIFÁCIO;2° Dose;433
PIRAJU;2° Dose;382
PARIQUERA-AÇU;2° Dose;309
CACHOEIRA PAULISTA;2° Dose;339
RANCHARIA;2° Dose;326
ILHABELA;2° Dose;436
COSMÓPOLIS;2° Dose;404
MAIRINQUE;2° Dose;376
SALTO DE PIRAPORA;2° Dose;373
ORLÂNDIA;2° Dose;352
PARAGUAÇU PAULISTA;2° Dose;410
SANTA RITA DO PASSA QUATRO;2° Dose;364
SOCORRO;2° Dose;417
ARUJÁ;2° Dose;390
TIETÊ;2° Dose;406
ARTUR NOGUEIRA;2° Dose;463
PEDERNEIRAS;2° Dose;411
BOITUVA;2° Dose;427
CASA BRANCA;2° Dose;434
SANTA ISABEL;2° Dose;357
MIRANDÓPOLIS;2° Dose;453
PROMISSÃO;2° Dose;441
PRESIDENTE EPITÁCIO;2° Dose;384
OSVALDO CRUZ;2° Dose;485
NOVO HORIZONTE;2° Dose;461
DESCALVADO;2° Dose;382
PORTO FELIZ;2° Dose;423
CAJAMAR;2° Dose;528
AMÉRICO BRASILIENSE;2° Dose;563
BARIRI;2° Dose;390
ITUVERAVA;2° Dose;401
ITÁPOLIS;2° Dose;435
CAPIVARI;2° Dose;405
JANDIRA;2° Dose;727
ELDORADO;2° Dose;698
BARRA BONITA;2° Dose;576
CAMPOS DO JORDÃO;2° Dose;564
BERTIOGA;2° Dose;759
PORTO FERREIRA;2° Dose;488
EMBU-GUAÇU;2° Dose;412
PERUÍBE;2° Dose;313
MONTE ALTO;2° Dose;503
VARGEM GRANDE DO SUL;2° Dose;626
SANTA FÉ DO SUL;2° Dose;614
GARÇA;2° Dose;534
CAMPO LIMPO PAULISTA;2° Dose;664
PEDREIRA;2° Dose;587
ESPÍRITO SANTO DO PINHAL;2° Dose;572
SANTA CRUZ DO RIO PARDO;2° Dose;496
MIRASSOL;2° Dose;576
OLÍMPIA;2° Dose;575
ADAMANTINA;2° Dose;740
AGUDOS;2° Dose;776
LENÇÓIS PAULISTA;2° Dose;678
BATATAIS;2° Dose;639
VÁRZEA PAULISTA;2° Dose;837
PRESIDENTE VENCESLAU;2° Dose;674
SÃO JOSÉ DO RIO PARDO;2° Dose;339
REGISTRO;2° Dose;790
SÃO SEBASTIÃO;2° Dose;653
TREMEMBÉ;2° Dose;712
MAIRIPORÃ;2° Dose;721
IBITINGA;2° Dose;711
SÃO JOAQUIM DA BARRA;2° Dose;588
VINHEDO;2° Dose;620
ANDRADINA;2° Dose;273
JABOTICABAL;2° Dose;801
PENÁPOLIS;2° Dose;783
CRUZEIRO;2° Dose;759
UBATUBA;2° Dose;632
MATÃO;2° Dose;814
JALES;2° Dose;774
SÃO ROQUE;2° Dose;667
AMPARO;2° Dose;766
CAIEIRAS;2° Dose;906
PAULÍNIA;2° Dose;1085
PIRASSUNUNGA;2° Dose;908
TAQUARITINGA;2° Dose;1003
BIRIGUI;2° Dose;716
DRACENA;2° Dose;989
BEBEDOURO;2° Dose;569
ITAPIRA;2° Dose;831
MOCOCA;2° Dose;1209
ITAPEVA;2° Dose;1076
LORENA;2° Dose;891
CUBATÃO;2° Dose;527
FRANCISCO MORATO;2° Dose;1317
CAÇAPAVA;2° Dose;1092
SALTO;2° Dose;923
VOTORANTIM;2° Dose;1161
POÁ;2° Dose;1177
SANTANA DE PARNAÍBA;2° Dose;1130
ITANHAÉM;2° Dose;1197
MOGI MIRIM;2° Dose;1081
LEME;2° Dose;1014
LINS;2° Dose;952
AVARÉ;2° Dose;1422
ITAPEVI;2° Dose;1500
OURINHOS;2° Dose;1356
CARAGUATATUBA;2° Dose;1095
FERNANDÓPOLIS;2° Dose;1210
TUPÃ;2° Dose;1258
FERRAZ DE VASCONCELOS;2° Dose;1472
ITATIBA;2° Dose;1360
VALINHOS;2° Dose;1412
GUARATINGUETÁ;2° Dose;1029
ITAPECERICA DA SERRA;2° Dose;1299
SERTÃOZINHO;2° Dose;1440
SANTA BÁRBARA D'OESTE;2° Dose;1725
RIBEIRÃO PIRES;2° Dose;1511
ITAQUAQUECETUBA;2° Dose;1265
MOGI GUAÇU;2° Dose;1425
TATUÍ;2° Dose;1625
FRANCO DA ROCHA;2° Dose;1965
EMBU DAS ARTES;2° Dose;1488
ARARAS;2° Dose;1540
PINDAMONHANGABA;2° Dose;1733
ASSIS;2° Dose;1751
HORTOLÂNDIA;2° Dose;1679
COTIA;2° Dose;1256
ITU;2° Dose;1612
SÃO JOÃO DA BOA VISTA;2° Dose;1748
VOTUPORANGA;2° Dose;2122
ATIBAIA;2° Dose;1918
LIMEIRA;2° Dose;344
ITAPETININGA;2° Dose;1732
PRAIA GRANDE;2° Dose;1430
SÃO VICENTE;2° Dose;1807
SUMARÉ;2° Dose;1919
BRAGANÇA PAULISTA;2° Dose;2245
JACAREÍ;2° Dose;2579
INDAIATUBA;2° Dose;2380
JAÚ;2° Dose;2031
BARRETOS;2° Dose;2385
CARAPICUÍBA;2° Dose;1660
SUZANO;2° Dose;2238
AMERICANA;2° Dose;2736
CATANDUVA;2° Dose;2939
GUARUJÁ;2° Dose;1914
ARAÇATUBA;2° Dose;2572
TABOÃO DA SERRA;2° Dose;3366
RIO CLARO;2° Dose;2093
BARUERI;2° Dose;3368
FRANCA;2° Dose;2870
BOTUCATU;2° Dose;4429
SÃO CARLOS;2° Dose;3396
DIADEMA;2° Dose;3717
MAUÁ;2° Dose;3469
TAUBATÉ;2° Dose;3775
ARARAQUARA;2° Dose;3204
PRESIDENTE PRUDENTE;2° Dose;3537
MOGI DAS CRUZES;2° Dose;3420
MARÍLIA;2° Dose;4209
PIRACICABA;2° Dose;3241
SÃO CAETANO DO SUL;2° Dose;4600
JUNDIAÍ;2° Dose;3883
SOROCABA;2° Dose;3282
OSASCO;2° Dose;4550
BAURU;2° Dose;7542
SÃO JOSÉ DOS CAMPOS;2° Dose;7454
SÃO JOSÉ DO RIO PRETO;2° Dose;12584
SANTO ANDRÉ;2° Dose;7367
RIBEIRÃO PRETO;2° Dose;11508
SANTOS;2° Dose;7171
GUARULHOS;2° Dose;6026
SÃO BERNARDO DO CAMPO;2° Dose;10831
CAMPINAS;2° Dose;24527
SÃO PAULO;2° Dose;164659
BORÁ;1° Dose;60
NOVA CASTILHO;1° Dose;55
SANTANA DA PONTE PENSA;1° Dose;72
GUARANI D'OESTE;1° Dose;78
SAGRES;1° Dose;79
VITÓRIA BRASIL;1° Dose;74
CRUZÁLIA;1° Dose;77
QUADRA;1° Dose;74
NOVA CANAÃ PAULISTA;1° Dose;79
UNIÃO PAULISTA;1° Dose;81
GABRIEL MONTEIRO;1° Dose;77
PONTES GESTAL;1° Dose;85
DIRCE REIS;1° Dose;81
PAULISTÂNIA;1° Dose;86
TRABIJU;1° Dose;84
JUMIRIM;1° Dose;87
BOREBI;1° Dose;74
PONTALINDA;1° Dose;79
ASPÁSIA;1° Dose;93
SANTA CLARA D'OESTE;1° Dose;88
URU;1° Dose;86
BOM SUCESSO DE ITARARÉ;1° Dose;92
PRACINHA;1° Dose;93
ZACARIAS;1° Dose;91
SÃO JOÃO DAS DUAS PONTES;1° Dose;95
SANTA RITA D'OESTE;1° Dose;100
LUCIANÓPOLIS;1° Dose;95
TURIÚBA;1° Dose;103
DOLCINÓPOLIS;1° Dose;97
EMBAÚBA;1° Dose;98
ESTRELA DO NORTE;1° Dose;98
SANTA CRUZ DA ESPERANÇA;1° Dose;100
TEJUPÁ;1° Dose;100
NANTES;1° Dose;101
NOVA LUZITÂNIA;1° Dose;112
PLATINA;1° Dose;99
BENTO DE ABREU;1° Dose;110
SÃO FRANCISCO;1° Dose;111
FERNÃO;1° Dose;91
CÁSSIA DOS COQUEIROS;1° Dose;116
SUZANÁPOLIS;1° Dose;119
ÁLVARO DE CARVALHO;1° Dose;107
ARAPEÍ;1° Dose;109
NIPOÃ;1° Dose;104
SÃO JOÃO DO PAU D'ALHO;1° Dose;120
TAQUARAL;1° Dose;106
FLORA RICA;1° Dose;120
ESPÍRITO SANTO DO TURVO;1° Dose;108
RUBINÉIA;1° Dose;119
RUBIÁCEA;1° Dose;116
SÃO JOÃO DE IRACEMA;1° Dose;106
ITAPIRAPUÃ PAULISTA;1° Dose;115
ÓLEO;1° Dose;124
JERIQUARA;1° Dose;120
NOVA GUATAPORANGA;1° Dose;132
ALVINLÂNDIA;1° Dose;121
SANTA SALETE;1° Dose;119
BARRA DO CHAPÉU;1° Dose;123
BALBINOS;1° Dose;117
MARIÁPOLIS;1° Dose;130
JÚLIO MESQUITA;1° Dose;126
JOÃO RAMALHO;1° Dose;124
LOURDES;1° Dose;130
QUEIROZ;1° Dose;126
MARABÁ PAULISTA;1° Dose;136
MARINÓPOLIS;1° Dose;128
SANDOVALINA;1° Dose;129
PEDRINHAS PAULISTA;1° Dose;127
CANAS;1° Dose;128
ELISIÁRIO;1° Dose;137
GUZOLÂNDIA;1° Dose;136
MESÓPOLIS;1° Dose;126
EMILIANÓPOLIS;1° Dose;139
PEDRANÓPOLIS;1° Dose;134
CANITAR;1° Dose;132
MOTUCA;1° Dose;142
TURMALINA;1° Dose;133
CÂNDIDO RODRIGUES;1° Dose;137
MIRA ESTRELA;1° Dose;145
RIBEIRA;1° Dose;142
CORUMBATAÍ;1° Dose;143
PRESIDENTE ALVES;1° Dose;146
SABINO;1° Dose;171
TAQUARIVAÍ;1° Dose;140
CAIABU;1° Dose;149
OSCAR BRESSANE;1° Dose;125
NOVA INDEPENDÊNCIA;1° Dose;135
MACEDÔNIA;1° Dose;144
REDENÇÃO DA SERRA;1° Dose;146
FLORÍNEA;1° Dose;149
LUPÉRCIO;1° Dose;158
OCAUÇU;1° Dose;148
PARANAPUÃ;1° Dose;153
SANTA ERNESTINA;1° Dose;147
PARISI;1° Dose;155
SANTA MERCEDES;1° Dose;154
COROADOS;1° Dose;157
CAMPOS NOVOS PAULISTA;1° Dose;153
PONGAÍ;1° Dose;153
ANHEMBI;1° Dose;165
RIFAINA;1° Dose;157
LUIZIÂNIA;1° Dose;154
GASTÃO VIDIGAL;1° Dose;155
PRATÂNIA;1° Dose;151
TORRE DE PEDRA;1° Dose;151
ITAJU;1° Dose;160
SÃO JOSÉ DO BARREIRO;1° Dose;148
LUTÉCIA;1° Dose;159
RIVERSUL;1° Dose;171
ALAMBARI;1° Dose;166
NOVAIS;1° Dose;144
SALMOURÃO;1° Dose;164
UBARANA;1° Dose;151
BREJO ALEGRE;1° Dose;158
