DRS;Município;Unidade de Saúde;Leitos Ocupados / Enfermaria;Leitos Ocupados / UTI
Bauru;PARANAPANEMA;HOSPITAL MUNICIPAL LEONARDUS VAN MELIS;6;0
Campinas;AMERICANA;HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;16;10
Campinas;BOM JESUS DOS PERDOES;UNIDADE MISTA DE SAUDE DR JOSE ORLANDO S BORGATTO;11;0
Campinas;CAMPINAS;COMPLEXO HOSPITALAR PREF. EDIVALDO ORSI (HOSPITAL GERAL);46;54
Campinas;CAMPINAS;HOSPITAL DE CLINICAS UNICAMP;12;13
Campinas;CAMPINAS;HOSPITAL MUNICIPAL DR MARIO GATTI;18;32
Campinas;CAMPO LIMPO PAULISTA;HOSPITAL DE CLINICAS CAMPO LIMPO PAULISTA;5;0
Campinas;HORTOLÂNDIA;HOSPITAL E MATERNIDADE MUNICIPAL GOVERNADOR MÁRIO COVAS;0;10
Campinas;HORTOLÂNDIA;UNIDADE RESPIRATORIA NOVA HORTOLANDIA;25;0
Campinas;ITUPEVA;HOSPITAL NOSSA SENHORA APARECIDA;1;9
Campinas;JAGUARIUNA;HOSPITAL MUNICIPAL WALTER FERRARI;6;8
Campinas;JUNDIAÍ;HOSPITAL UNIVERSITARIO DE JUNDIAI;3;0
Campinas;NOVA ODESSA;HOSPITAL DE CAMPANHA COVID 19;11;0
Campinas;NOVA ODESSA;PREFEITURA MUNICIPAL DE NOVA ODESSA;1;0
Campinas;PAULINIA;HOSPITAL GERAL;16;14
Campinas;SANTA BARBARA D´OESTE;HOSPITAL DE CAMPANHA COVID 19;11;3
Campinas;SUMARÉ;HOSPITAL ESTADUAL SUMARE;4;7
Campinas;SUMARÉ;UNIDADE DE PRONTO ATENDIMENTO MACARENKO UPA 24H;21;9
Campinas;VÁRZEA PAULISTA;HOSPITAL MUNICIPAL DR ALCIPIO DA SILVA OLIVEIRA JUNIOR;1;0
Franca;FRANCA;HOSPITAL DE CAMPANHA FRANCA;1;9
Grande São Paulo;ARUJÁ;PAM POSTO DE ATENDIMENTO MEDICO BARRETO COVID 19;0;9
Grande São Paulo;BARUERÍ;HOSPITAL DE CAMPANHA COVID 19 JARDIM PAULISTA;20;2
Grande São Paulo;BARUERÍ;HOSPITAL MUNICIPAL DE BARUERI - DR.FRANCISCO MORAN;49;21
Grande São Paulo;CAIEIRAS;HOSPITAL DE CAMPANHA COVID 19 CAIEIRAS;3;1
Grande São Paulo;CAIEIRAS;UNIDADE MISTA DE SAUDE ROSA SANTA PASIN AGUIAR;2;0
Grande São Paulo;CAJAMAR;HOSPITAL ENF.ANTONIO POLICARPO DE OLIVEIRA;9;5
Grande São Paulo;CARAPICUIBA;HOSPITAL GERAL DE CARAPICUIBA;4;10
Grande São Paulo;DIADEMA;HOSPITAL MUNICIPAL DE DIADEMA;28;6
Grande São Paulo;EMBU DAS ARTES;HOSPITAL LEITO IRMA ANETTE MARLENE FERNANDES MELLO;25;5
Grande São Paulo;EMBU-GUAÇU;UNIDADE MISTA DE SAÚDE DE EMBU GUAÇU;3;0
Grande São Paulo;FERRAZ DE VASCONCELOS;HOSPITAL REGIONAL DE FERRAZ DE VASCONCELOS OSIRIS FLORINDO;12;29
Grande São Paulo;FRANCISCO MORATO;HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO;8;18
Grande São Paulo;FRANCO DA ROCHA;HOSPITAL ESTADUAL DR ALBANO DA FRANCA ROCHA SOBRINHO;3;0
Grande São Paulo;GUARULHOS;COMPLEXO HOSPITALAR PADRE BENTO DE GUARULHOS;18;24
Grande São Paulo;GUARULHOS;HOSP MUNICIPAL DE URGENCIAS HMU;22;19
Grande São Paulo;GUARULHOS;HOSPIT GERAL PROF DR WALDEMAR DE CARVALHO PINTO FILHO;33;39
Grande São Paulo;GUARULHOS;HOSPITAL MUNICIPAL DA CRIANCA E DO ADOLESCENTE HMCA;12;2
Grande São Paulo;GUARULHOS;HOSPITAL MUNICIPAL PIMENTAS BONSUCESSO MANUEL DE PAIVA;16;10
Grande São Paulo;ITAPECERICA DA SERRA;HOSPITAL GERAL DE ITAPECERICA DA SERRA;20;21
Grande São Paulo;ITAPECERICA DA SERRA;PRONTO SOCORRO CENTRAL;4;0
Grande São Paulo;ITAPEVÍ;HOSPITAL GERAL DE ITAPEVI;21;16
Grande São Paulo;ITAPEVÍ;PRONTO SOCORRO MUNICIPAL;13;0
Grande São Paulo;ITAQUAQUECETUBA;HOSPITAL GERAL DE ITAQUÁQUECETUBA;12;7
Grande São Paulo;ITAQUAQUECETUBA;UPA SADAKO SEDOGUTI;6;0
Grande São Paulo;JANDIRA;CENTRO DE COMBATE AO CORONA VÍRUS;4;0
Grande São Paulo;MAIRIPORA;HOSPITAL DE CAMPANHA COVID 19 DE MAIRIPORA;12;9
Grande São Paulo;MAUÁ;HOSPITAL DE CLÍNICAS DR. RADAMÉS NARDINI;21;30
Grande São Paulo;MOGÍ DAS CRUZES;HOSPITAL DAS CLINICAS LUZIA DE PINHO MELLO;33;14
Grande São Paulo;MOGÍ DAS CRUZES;HOSPITAL MUNICIPAL DE MOGI DAS CRUZES;69;45
Grande São Paulo;OSASCO;HOSPITAL DE CAMPANHA COVID 19 OSASCO;25;0
Grande São Paulo;OSASCO;HOSPITAL MATERNIDADE AMADOR AGUIAR;0;2
Grande São Paulo;OSASCO;HOSPITAL MUNICIPAL ANTONIO GIGLIO;14;14
Grande São Paulo;OSASCO;HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;17;41
Grande São Paulo;OSASCO;PS JOSE IBRAHIN;0;25
Grande São Paulo;PIRAPORA DO BOM JESUS;PRONTO ATENDIMENTO BENEDITO ZEFERINO DA SILVA;2;0
Grande São Paulo;POA;HOSPITAL MUNICIPAL DR GUIDO GUIDA;6;0
Grande São Paulo;RIBEIRÃO PIRES;HOSPITAL DE CAMPANHA RIBEIRAO PIRES;22;12
Grande São Paulo;RIO GRANDE DA SERRA;UPA VEREADOR JOSE DA ROCHA GONCALVES;4;0
Grande São Paulo;SANTA ISABEL;UNIDADE DE PRONTO ATENDIMENTO UPA I SANTA ISABEL;3;6
Grande São Paulo;SANTANA DE PARNAÍBA;CENTRO DE COMBATE AO COVID 19 FERNAO DIAS;0;12
Grande São Paulo;SANTANA DE PARNAÍBA;UPA FAZENDINHA SANTANA DE PARNAIBA;3;0
Grande São Paulo;SANTO ANDRÉ;CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;12;78
Grande São Paulo;SANTO ANDRÉ;HOSPITAL DA MULHER MARIA JOSE DOS SANTOS STEIN;4;0
Grande São Paulo;SANTO ANDRÉ;HOSPITAL DE CAMPANHA COVID 19 PEDRO DELL ANTONIA	;128;8
Grande São Paulo;SANTO ANDRÉ;HOSPITAL DE CAMPANHA COVID 19 UFABC;104;1
Grande São Paulo;SANTO ANDRÉ;HOSPITAL ESTADUAL MÁRIO COVAS DE SANTO ANDRE;22;34
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL ANCHIETA;58;19
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL DE CAMPANHA COVID 19 HOSPITAL DE URGENCIA;126;67
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL DE CLINICAS MUNICIPAL;21;28
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL E PRONTO SOCORRO CENTRAL;3;2
Grande São Paulo;SÃO BERNARDO DO CAMPO;HOSPITAL MUNICIPAL UNIVERSITÁRIO;1;0
Grande São Paulo;SÃO CAETANO DO SUL;COMPLEXO HOSPITALAR MUNICIPAL;9;44
Grande São Paulo;SÃO CAETANO DO SUL;HOSPITAL MUNICIPAL DE EMERGENCIAS ALBERT SABIN;12;0
Grande São Paulo;SÃO PAULO;CENTRO DE REFERENCIA DA SAUDE DA MULHER SAO PAULO;5;2
Grande São Paulo;SÃO PAULO;CENTRO HOSPITALAR DO SISTEMA PENITENCIARIO SAO PAULO;4;0
Grande São Paulo;SÃO PAULO;CENTRO MEDICO PMESP;21;5
Grande São Paulo;SÃO PAULO;CONJUNTO HOSPITALAR DO MANDAQUI;40;40
Grande São Paulo;SÃO PAULO;HC DA FMUSP HOSPITAL DAS CLINICAS SAO PAULO;147;126
Grande São Paulo;SÃO PAULO;HC DA FMUSP INSTITUTO DO CORACAO INCOR SAO PAULO;25;41
Grande São Paulo;SÃO PAULO;HOSP MUN JOSANIAS CASTANHA BRAGA;73;111
Grande São Paulo;SÃO PAULO;HOSP MUN PROF DR WALDOMIRO DE PAULA;10;0
Grande São Paulo;SÃO PAULO;HOSPITAL DE CAMPANHA COVID 19 SMS SP ANHEMBI P 35;6;0
Grande São Paulo;SÃO PAULO;HOSPITAL DE TRANSPLANTES DO ESTADO DE SÃO PAULO EURYCLIDES DE JESUS ZERBINI;6;8
Grande São Paulo;SÃO PAULO;HOSPITAL DO SERVIDOR PÚBLICO EST. FRANCISCO MORATO;101;47
Grande São Paulo;SÃO PAULO;HOSPITAL E MATERNIDADE VIDA'S S/C LTDA;14;9
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL DE CAMPANHA COVID 19 BARRADAS;18;16
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL DE SAPOPEMBA SAO PAULO;3;10
Grande São Paulo;SÃO PAULO;HOSPITAL ESTADUAL VILA ALPINA;43;38
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE SAO MATEUS;23;11
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE TAIPAS;15;6
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE VILA NOVA CACHOEIRINHA DR. ÁLVARO SIMÕES DE SOUZA;23;7
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL DE VILA PENTEADO;52;43
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL JESUS TEIXEIRA DA COSTA GUAIANASES SAO PAULO;107;20
Grande São Paulo;SÃO PAULO;HOSPITAL GERAL SANTA MARCELINA DO ITAIM PAULISTA;12;6
Grande São Paulo;SÃO PAULO;HOSPITAL HELIOPOLIS UNIDADE DE GESTAO ASSISTENCIAL 1;2;8
Grande São Paulo;SÃO PAULO;HOSPITAL INFANTIL CANDIDO FONTOURA SAO PAULO;8;1
Grande São Paulo;SÃO PAULO;HOSPITAL INFANTIL DARCY VARGAS;5;1
Grande São Paulo;SÃO PAULO;HOSPITAL IPIRANGA;17;9
Grande São Paulo;SÃO PAULO;HOSPITAL LOCAL DE SAPOPEMBA;20;9
Grande São Paulo;SÃO PAULO;HOSPITAL MATERNID INTERLAGOS WALDEMAR SEYSSEL - ARRELIA;2;0
Grande São Paulo;SÃO PAULO;HOSPITAL MATERNIDADE LEONOR MENDES DE BARROS;1;1
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL BELA VISTA;66;50
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL DO CAMPO LIMPO;14;4
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL DO TATUAPÉ;0;5
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL DOUTOR ARTHUR RIBEIRO SABOYA;10;13
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL ERMELINO MATARAZZO - ALÍPIO CORREA NETTO;6;0
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL GUARAPIRANGA;23;113
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL INFANTIL MENINO JESUS;7;2
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL JOSE SOARES HUNGRIA;5;41
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL M`BOI MIRIM;19;12
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL SOROCABANA;43;3
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL TIDE SETUBAL;23;64
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL VEREADOR JOSÉ STOROPOLLI;16;20
Grande São Paulo;SÃO PAULO;HOSPITAL MUNICIPAL VILA SANTA CATARINA;10;10
Grande São Paulo;SÃO PAULO;HOSPITAL REGIONAL SUL;14;5
Grande São Paulo;SÃO PAULO;HSPM - HOSPITAL DO SERVIDOR PÚBLICO MUNICIPAL;7;3
Grande São Paulo;SÃO PAULO;INSTITUTO DANTE PAZZANESE DE CARDIOLOGIA;26;27
Grande São Paulo;SÃO PAULO;INSTITUTO DE INFECTOLOGIA EMILIO RIBAS SAO PAULO;23;37
Grande São Paulo;SÃO PAULO;MATERNIDADE VILA NOVA CACHOEIRINHA;4;1
Grande São Paulo;SÃO PAULO;O.S. I.R.S. SIRIO LIBANES UNIDADE HOSPITAL GERAL GRAJAU;14;5
Grande São Paulo;SÃO PAULO;OSS SANTA MARCELINA HOSPITAL CIDADE TIRADENTES;21;35
Grande São Paulo;SÃO PAULO;PS MUN DR ALVARO DINO DE ALMEIDA;3;0
Grande São Paulo;SÃO PAULO;PS MUN SANTANA LAURO RIBAS BRAGA;5;0
Grande São Paulo;SÃO PAULO;SHS MED DEPARTAMENTO HOSP. MUNIC. INÁCIO PROENÇA DE GOUVEA;22;25
Grande São Paulo;SÃO PAULO;UNIDADE DE TRATAMENTO DE COVID 19 HD CAPELA D SOCORRO;39;0
Grande São Paulo;SUZANO;PRONTO SOCORRO MUNICIPAL DE SUZANO;2;18
Grande São Paulo;TABOAO DA SERRA;HOSPITAL DE CAMPANHA COVID 19 UPA AKIRA;24;10
Grande São Paulo;TABOAO DA SERRA;SPDM - UNIDADE MISTA;1;0
Marília;ASSIS;HOSPITAL REGIONAL DE ASSIS;15;10
Marília;MARILIA;HOSPITAL DAS CLÍNICAS - UNIDADE CLÍNICO CIRÚRGICO;17;30
Marília;OURINHOS;HOSPITAL DE CAMPANHA COVID 19;27;0
Piracicaba;PIRACICABA;HOSPITAL REGIONAL DE PIRACICABA;10;28
Piracicaba;PIRACICABA;UPA PIRACICAMIRIM DR FORTUNATO LOSSO NETO PIRACICABA;15;6
Piracicaba;RIO CLARO;HOSPITAL DE CAMPANHA - COVID 19 - RIO CLARO;10;20
Presidente Prudente;IEPÉ;HOSPITAL MUNICIPAL DE IEPÊ;5;0
Presidente Prudente;PRESIDENTE PRUDENTE;HOSPITAL REGIONAL DR. DOMINGOS LEONARDO CERAVOLO;43;34
Presidente Prudente;ROSANA;HOSPITAL ESTADUAL PORTO PRIMAVERA;3;0
Registro;PARIQUERA-AÇU;HOSPITAL DR LEOPOLDO BEVILACQUA;9;8
Registro;REGISTRO;HOSPITAL REGIONAL DE REGISTRO;0;8
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL DAS CLINICAS FAEPA RIBEIRAO PRETO;21;45
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL ESTADUAL DE RIBEIRÃO PRETO PROF DR CARLOS MARTINELLI;1;0
Ribeirão Preto;RIBEIRÃO PRETO;HOSPITAL SANTA TEREZA DE RIBEIRÃO PRETO;3;0
Ribeirão Preto;SERRANA;HOSPITAL ESTADUAL SERRANA;12;9
São João da Boa Vista;ITAPIRA;HOSPITAL MUNICIPAL DE ITAPIRA;7;11
São João da Boa Vista;MOGÍ GUAÇU;HOSPITAL MUNICIPAL DR. TABAJARA RAMOS;20;10
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;UNIDADE DE INTERNAÇÃO LUZ DA ESPERANÇA;11;0
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;UNIDADE DE SUPORTE VENTILATORIO FRATERNIDADE COVID;0;20
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;UPA JAQUARÉ;15;29
Sorocaba;IBIUNA;HOSPITAL DE CAMPANHA COVID-19;2;1
Sorocaba;ITABERA;HOSPITAL MUNICIPAL DE ITABERÁ;3;0
Sorocaba;ITAPETININGA;HOSPITAL DR LEO ORSI BERNARDES ITAPETININGA;21;9
Sorocaba;ITÚ;HOSPITAL MUNICIPAL;0;4
Sorocaba;RIBEIRÃO BRANCO;HOSPITAL MUNICIPAL MARIA ROSA CARDOSO;3;0
Sorocaba;SALTO;HOSPITAL E MATERNIDADE MUNICIPAL N S DO MONTE SERRAT;14;8
Sorocaba;SOROCABA;CONJUNTO HOSPITALAR DE SOROCABA;6;27
Sorocaba;SOROCABA;HOSPITAL REGIONAL DE SOROCABA;2;20
Sorocaba;VOTORANTIM;HOSPITAL MUNICIPAL DR. LAURO ROBERTO FOGAÇA;12;5
Taubaté;CAMPOS DO JORDÃO;COMPLEXO MUNICIPAL DE SAUDE;1;0
Taubaté;CARAGUATATUBA;HOSPITAL DE CAMPANHA DE CARAGUATATUBA;28;1
Taubaté;CARAGUATATUBA;HOSPITAL REGIONAL DO LITORAL NORTE;11;22
Taubaté;CRUZEIRO;CENTRO DE APOIO EPIDEMIOLOGICO;3;0
Taubaté;GUARATINGUETA;HOSPITAL DA ESCOLA DE ESPECIALISTA DE AERONAUTICA;4;0
Taubaté;ILHABELA;HOSPITAL MUNICIPAL GOVERNADOR MARIO COVAS JUNIOR;9;1
Taubaté;JACAREÍ;HOSPITAL DE CAMPANHA COVID 19 JACAREI;28;0
Taubaté;JACAREÍ;UPA III DR THELMO DE ALMEIDA CRUZ;1;0
Taubaté;PINDAMONHANGABA;HOSPITAL DE CAMPANHA COVID 19 PINDAMONHANGABA;8;1
Taubaté;QUELUZ;HOSPITAL MUNICIPAL DE QUELUZ;1;0
Taubaté;SÃO JOSÉ DOS CAMPOS;HOSPITAL MUNICIPAL DR. JOSÉ CARVALHO FLORENCE;36;31
Taubaté;TAUBATÉ;HOSPITAL DE CAMPANHA COVID 19 MUNICIPIO DE TAUBATE;16;12
Taubaté;TAUBATÉ;HOSPITAL MUNICIPAL UNIVERSITÁRIO DE TAUBATÉ;2;33
Taubaté;TREMEMBÉ;PRONTO ATENDIMENTO MUNICIPAL PAULO BARBOSA RANGEL TREMEMBE;1;0
