Ds Município;Dose;Contagem de Id Vacinacao
MARACAÍ;2° Dose;470
SÃO SEBASTIÃO DA GRAMA;2° Dose;354
NEVES PAULISTA;2° Dose;413
PACAEMBU;2° Dose;273
TAPIRATIBA;2° Dose;403
SALESÓPOLIS;2° Dose;366
OUROESTE;2° Dose;476
SANTA BRANCA;2° Dose;350
BANANAL;2° Dose;411
TABATINGA;2° Dose;394
PIRANGI;2° Dose;359
PINHALZINHO;2° Dose;343
FLÓRIDA PAULISTA;2° Dose;438
QUATÁ;2° Dose;419
SÃO SIMÃO;2° Dose;400
PARAPUÃ;2° Dose;317
PATROCÍNIO PAULISTA;2° Dose;434
POTIM;2° Dose;634
JOANÓPOLIS;2° Dose;399
CARDOSO;2° Dose;389
JACUPIRANGA;2° Dose;392
PALESTINA;2° Dose;418
ITARIRI;2° Dose;442
URÂNIA;2° Dose;483
CESÁRIO LANGE;2° Dose;359
IPAUSSU;2° Dose;428
PANORAMA;2° Dose;380
ITATINGA;2° Dose;366
PALMEIRA D'OESTE;2° Dose;460
ITAPORANGA;2° Dose;403
JUQUIÁ;2° Dose;330
PEDREGULHO;2° Dose;462
AURIFLAMA;2° Dose;422
UCHOA;2° Dose;437
IBIRÁ;2° Dose;424
SANTA GERTRUDES;2° Dose;529
BORBOREMA;2° Dose;406
SANTO ANTÔNIO DE POSSE;2° Dose;489
BURITAMA;2° Dose;478
URUPÊS;2° Dose;522
ALTINÓPOLIS;2° Dose;472
TABAPUÃ;2° Dose;534
BERNARDINO DE CAMPOS;2° Dose;406
BOM JESUS DOS PERDÕES;2° Dose;373
PARAIBUNA;2° Dose;445
MACATUBA;2° Dose;512
BADY BASSITT;2° Dose;672
ITABERÁ;2° Dose;372
PARANAPANEMA;2° Dose;499
GENERAL SALGADO;2° Dose;452
MIRACATU;2° Dose;496
ÁGUAS DE LINDÓIA;2° Dose;418
NHANDEARA;2° Dose;409
NAZARÉ PAULISTA;2° Dose;346
DUARTINA;2° Dose;465
CONCHAS;2° Dose;462
CACONDE;2° Dose;344
REGENTE FEIJÓ;2° Dose;474
IPERÓ;2° Dose;423
FARTURA;2° Dose;530
IRACEMÁPOLIS;2° Dose;515
VIRADOURO;2° Dose;408
ANGATUBA;2° Dose;467
SANTA ROSA DE VITERBO;2° Dose;435
GUAPIAÇU;2° Dose;608
SANTA ADÉLIA;2° Dose;509
ITAJOBI;2° Dose;532
MIGUELÓPOLIS;2° Dose;553
PIRATININGA;2° Dose;667
MIRANTE DO PARANAPANEMA;2° Dose;600
CAJATI;2° Dose;561
MONTE AZUL PAULISTA;2° Dose;555
CONCHAL;2° Dose;694
DIVINOLÂNDIA;2° Dose;603
NOVA GRANADA;2° Dose;658
CORDEIRÓPOLIS;2° Dose;421
POTIRENDABA;2° Dose;661
APIAÍ;2° Dose;566
PIEDADE;2° Dose;339
PINDORAMA;2° Dose;657
TEODORO SAMPAIO;2° Dose;551
CERQUEIRA CÉSAR;2° Dose;544
ITAÍ;2° Dose;522
BASTOS;2° Dose;623
CUNHA;2° Dose;533
CASTILHO;2° Dose;625
CRAVINHOS;2° Dose;605
CABREÚVA;2° Dose;693
ROSANA;2° Dose;560
TAMBAÚ;2° Dose;654
BARRINHA;2° Dose;649
IBATÉ;2° Dose;567
BROTAS;2° Dose;583
LUCÉLIA;2° Dose;784
SERRANA;2° Dose;959
PIRACAIA;2° Dose;634
JARINU;2° Dose;690
CAJURU;2° Dose;732
PIRAJUÍ;2° Dose;646
GUARÁ;2° Dose;719
PRESIDENTE BERNARDES;2° Dose;703
RIO DAS PEDRAS;2° Dose;768
BIRITIBA MIRIM;2° Dose;592
VALPARAÍSO;2° Dose;780
CERQUILHO;2° Dose;600
PILAR DO SUL;2° Dose;647
SANTO ANASTÁCIO;2° Dose;727
PIRAPOZINHO;2° Dose;644
MORRO AGUDO;2° Dose;866
GUARIBA;2° Dose;714
RIO GRANDE DA SERRA;2° Dose;851
ÁLVARES MACHADO;2° Dose;606
MARTINÓPOLIS;2° Dose;674
DOIS CÓRREGOS;2° Dose;799
BRODOWSKI;2° Dose;887
TUPI PAULISTA;2° Dose;789
TAQUARITUBA;2° Dose;719
JUQUITIBA;2° Dose;829
GUARAREMA;2° Dose;732
JUNQUEIRÓPOLIS;2° Dose;749
PEREIRA BARRETO;2° Dose;757
LARANJAL PAULISTA;2° Dose;841
PONTAL;2° Dose;818
ORLÂNDIA;2° Dose;1089
SÃO MIGUEL ARCANJO;2° Dose;668
IGARAPAVA;2° Dose;800
ARAÇOIABA DA SERRA;2° Dose;653
PITANGUEIRAS;2° Dose;1012
ITUPEVA;2° Dose;868
ILHABELA;2° Dose;1006
MIRANDÓPOLIS;2° Dose;1096
POMPÉIA;2° Dose;864
PALMITAL;2° Dose;894
APARECIDA;2° Dose;980
AGUAÍ;2° Dose;910
PARIQUERA-AÇU;2° Dose;1086
LOUVEIRA;2° Dose;940
CACHOEIRA PAULISTA;2° Dose;869
ELDORADO;2° Dose;1489
RANCHARIA;2° Dose;947
JARDINÓPOLIS;2° Dose;1008
MONTE APRAZÍVEL;2° Dose;1070
SANTA CRUZ DAS PALMEIRAS;2° Dose;1037
IGUAPE;2° Dose;812
VARGEM GRANDE PAULISTA;2° Dose;1050
CASA BRANCA;2° Dose;1154
PIRAJU;2° Dose;972
CÂNDIDO MOTA;2° Dose;853
GUARARAPES;2° Dose;1011
SÃO MANUEL;2° Dose;847
SÃO PEDRO;2° Dose;866
ITARARÉ;2° Dose;948
PARAGUAÇU PAULISTA;2° Dose;1070
ILHA SOLTEIRA;2° Dose;967
JOSÉ BONIFÁCIO;2° Dose;1339
SERRA NEGRA;2° Dose;984
TANABI;2° Dose;1127
PEDERNEIRAS;2° Dose;1102
BOITUVA;2° Dose;1053
ITUVERAVA;2° Dose;1337
GUAÍRA;2° Dose;1171
MAIRINQUE;2° Dose;1028
PROMISSÃO;2° Dose;1141
CAPÃO BONITO;2° Dose;894
AMÉRICO BRASILIENSE;2° Dose;1322
MONTE MOR;2° Dose;832
SANTA RITA DO PASSA QUATRO;2° Dose;1159
TIETÊ;2° Dose;1155
COSMÓPOLIS;2° Dose;965
BERTIOGA;2° Dose;1322
CAJAMAR;2° Dose;1021
NOVA ODESSA;2° Dose;1027
JAGUARIÚNA;2° Dose;1195
BARIRI;2° Dose;1139
PORTO FELIZ;2° Dose;1276
OSVALDO CRUZ;2° Dose;1334
SALTO DE PIRAPORA;2° Dose;1173
CAMPOS DO JORDÃO;2° Dose;1379
PRESIDENTE EPITÁCIO;2° Dose;1080
BARRA BONITA;2° Dose;1248
ARTUR NOGUEIRA;2° Dose;1074
SANTA ISABEL;2° Dose;1253
PEDREIRA;2° Dose;1198
DESCALVADO;2° Dose;1210
ITÁPOLIS;2° Dose;1370
AGUDOS;2° Dose;1441
NOVO HORIZONTE;2° Dose;1552
CAMPO LIMPO PAULISTA;2° Dose;1516
CAPIVARI;2° Dose;1417
TREMEMBÉ;2° Dose;1946
SOCORRO;2° Dose;1126
BATATAIS;2° Dose;1800
GARÇA;2° Dose;1541
ARUJÁ;2° Dose;1522
MONGAGUÁ;2° Dose;1001
PORTO FERREIRA;2° Dose;1128
ESPÍRITO SANTO DO PINHAL;2° Dose;1802
ADAMANTINA;2° Dose;1744
VÁRZEA PAULISTA;2° Dose;1433
JANDIRA;2° Dose;1733
SÃO JOAQUIM DA BARRA;2° Dose;2115
LENÇÓIS PAULISTA;2° Dose;1663
MIRASSOL;2° Dose;1596
IBIÚNA;2° Dose;1577
SANTA CRUZ DO RIO PARDO;2° Dose;1489
PRESIDENTE VENCESLAU;2° Dose;1456
EMBU-GUAÇU;2° Dose;1952
SANTA FÉ DO SUL;2° Dose;1750
IBITINGA;2° Dose;1805
VARGEM GRANDE DO SUL;2° Dose;2064
VOTORANTIM;2° Dose;2132
SÃO JOSÉ DO RIO PARDO;2° Dose;1480
MAIRIPORÃ;2° Dose;1737
MONTE ALTO;2° Dose;1797
PERUÍBE;2° Dose;1540
ITAPIRA;2° Dose;2187
REGISTRO;2° Dose;2075
OLÍMPIA;2° Dose;1813
CRUZEIRO;2° Dose;2134
VINHEDO;2° Dose;2115
SÃO SEBASTIÃO;2° Dose;2153
POÁ;2° Dose;2836
ANDRADINA;2° Dose;2334
BEBEDOURO;2° Dose;1990
TAQUARITINGA;2° Dose;2309
CAÇAPAVA;2° Dose;2269
DRACENA;2° Dose;2604
UBATUBA;2° Dose;2336
CAIEIRAS;2° Dose;1990
LORENA;2° Dose;2340
JALES;2° Dose;2408
MATÃO;2° Dose;2301
AMPARO;2° Dose;2390
SÃO ROQUE;2° Dose;2149
PAULÍNIA;2° Dose;2138
PENÁPOLIS;2° Dose;2413
MOCOCA;2° Dose;2393
SANTANA DE PARNAÍBA;2° Dose;2478
JABOTICABAL;2° Dose;2467
TUPÃ;2° Dose;2736
SALTO;2° Dose;3315
ITAPEVA;2° Dose;2563
FERRAZ DE VASCONCELOS;2° Dose;3175
FRANCISCO MORATO;2° Dose;2749
BIRIGUI;2° Dose;2524
CUBATÃO;2° Dose;2609
MOGI MIRIM;2° Dose;3439
PIRASSUNUNGA;2° Dose;2876
VALINHOS;2° Dose;2604
AVARÉ;2° Dose;3073
ITATIBA;2° Dose;3151
LEME;2° Dose;2992
LINS;2° Dose;3301
SERTÃOZINHO;2° Dose;3358
ITAPECERICA DA SERRA;2° Dose;3554
ITAPEVI;2° Dose;3486
FERNANDÓPOLIS;2° Dose;3764
CARAGUATATUBA;2° Dose;3407
ITANHAÉM;2° Dose;3699
RIBEIRÃO PIRES;2° Dose;4026
GUARATINGUETÁ;2° Dose;3707
ITAQUAQUECETUBA;2° Dose;3779
FRANCO DA ROCHA;2° Dose;3430
HORTOLÂNDIA;2° Dose;4328
EMBU DAS ARTES;2° Dose;5185
TATUÍ;2° Dose;3697
COTIA;2° Dose;4477
OURINHOS;2° Dose;3629
MOGI GUAÇU;2° Dose;4260
PINDAMONHANGABA;2° Dose;4158
ASSIS;2° Dose;4374
ARARAS;2° Dose;4037
SANTA BÁRBARA D'OESTE;2° Dose;3885
VOTUPORANGA;2° Dose;4525
SÃO JOÃO DA BOA VISTA;2° Dose;4683
ITU;2° Dose;4795
JAÚ;2° Dose;5687
ATIBAIA;2° Dose;5287
BARRETOS;2° Dose;6150
ITAPETININGA;2° Dose;5079
BRAGANÇA PAULISTA;2° Dose;5911
CATANDUVA;2° Dose;6686
SUMARÉ;2° Dose;5820
AMERICANA;2° Dose;6851
CARAPICUÍBA;2° Dose;5623
LIMEIRA;2° Dose;4306
TABOÃO DA SERRA;2° Dose;7354
INDAIATUBA;2° Dose;6222
JACAREÍ;2° Dose;6644
BOTUCATU;2° Dose;6826
SUZANO;2° Dose;6546
GUARUJÁ;2° Dose;5453
PRAIA GRANDE;2° Dose;6612
BARUERI;2° Dose;7795
ARAÇATUBA;2° Dose;7459
TAUBATÉ;2° Dose;5217
RIO CLARO;2° Dose;8682
DIADEMA;2° Dose;8853
FRANCA;2° Dose;7050
MARÍLIA;2° Dose;10337
PRESIDENTE PRUDENTE;2° Dose;9503
SÃO CARLOS;2° Dose;8956
SÃO VICENTE;2° Dose;9125
MAUÁ;2° Dose;11525
SÃO CAETANO DO SUL;2° Dose;10704
ARARAQUARA;2° Dose;10413
MOGI DAS CRUZES;2° Dose;10535
JUNDIAÍ;2° Dose;11399
PIRACICABA;2° Dose;12559
SOROCABA;2° Dose;16108
OSASCO;2° Dose;13575
BAURU;2° Dose;17590
SÃO JOSÉ DO RIO PRETO;2° Dose;23269
SÃO JOSÉ DOS CAMPOS;2° Dose;21913
RIBEIRÃO PRETO;2° Dose;22586
SANTO ANDRÉ;2° Dose;23029
SÃO BERNARDO DO CAMPO;2° Dose;25330
SANTOS;2° Dose;25613
GUARULHOS;2° Dose;28088
CAMPINAS;2° Dose;41589
SÃO PAULO;2° Dose;423646
BORÁ;1° Dose;128
NOVA CASTILHO;1° Dose;140
MESÓPOLIS;1° Dose;134
SAGRES;1° Dose;168
TRABIJU;1° Dose;184
BOREBI;1° Dose;220
PAULISTÂNIA;1° Dose;210
MACEDÔNIA;1° Dose;212
CRUZÁLIA;1° Dose;224
FERNÃO;1° Dose;223
URU;1° Dose;231
PRACINHA;1° Dose;209
BOM SUCESSO DE ITARARÉ;1° Dose;224
UNIÃO PAULISTA;1° Dose;211
BALBINOS;1° Dose;229
DIRCE REIS;1° Dose;241
ESTRELA DO NORTE;1° Dose;242
SANTA CRUZ DA ESPERANÇA;1° Dose;247
NOVAIS;1° Dose;262
QUADRA;1° Dose;273
ZACARIAS;1° Dose;262
VITÓRIA BRASIL;1° Dose;249
SANTANA DA PONTE PENSA;1° Dose;282
SÃO JOÃO DE IRACEMA;1° Dose;247
ASPÁSIA;1° Dose;251
SÃO JOÃO DAS DUAS PONTES;1° Dose;279
JUMIRIM;1° DOSE;274
BENTO DE ABREU;1° Dose;279
TAQUARAL;1° Dose;264
NANTES;1° DOSE;251
GUARANI D'OESTE;1° Dose;257
SABINO;1° Dose;319
ARAPEÍ;1° Dose;258
JOÃO RAMALHO;1° Dose;285
ÓLEO;1° Dose;297
NOVA GUATAPORANGA;1° Dose;312
CANITAR;1° Dose;275
GABRIEL MONTEIRO;1° Dose;313
SANTA SALETE;1° Dose;284
PARISI;1° Dose;295
NOVA INDEPENDÊNCIA;1° Dose;292
BREJO ALEGRE;1° Dose;340
LUCIANÓPOLIS;1° Dose;330
QUEIROZ;1° Dose;295
EMBAÚBA;1° Dose;314
PLATINA;1° Dose;318
SANTA CLARA D'OESTE;1° Dose;287
PONTES GESTAL;1° Dose;316
TURIÚBA;1° Dose;302
NOVA CANAÃ PAULISTA;1° Dose;337
SANDOVALINA;1° DOSE;310
JÚLIO MESQUITA;1° Dose;330
MARAPOAMA;1° Dose;297
TAQUARIVAÍ;1° Dose;312
AREIAS;1° Dose;277
SÃO JOÃO DO PAU D'ALHO;1° Dose;309
MARINÓPOLIS;1° Dose;316
RUBIÁCEA;1° Dose;308
DOLCINÓPOLIS;1° Dose;337
LOURDES;1° Dose;317
ÁLVARO DE CARVALHO;1° Dose;341
CANAS;1° Dose;306
PONTALINDA;1° Dose;350
NOVA LUZITÂNIA;1° Dose;334
RIFAINA;1° Dose;346
ESPÍRITO SANTO DO TURVO;1° Dose;330
CÁSSIA DOS COQUEIROS;1° DOSE;331
ITAPIRAPUÃ PAULISTA;1° Dose;357
MOTUCA;1° Dose;359
CORUMBATAÍ;1° Dose;328
ITAJU;1° Dose;345
TEJUPÁ;1° Dose;362
ALVINLÂNDIA;1° Dose;358
BARRA DO CHAPÉU;1° Dose;359
NIPOÃ;1° Dose;374
PRESIDENTE ALVES;1° Dose;362
JERIQUARA;1° Dose;354
MARABÁ PAULISTA;1° Dose;366
RIBEIRÃO CORRENTE;1° Dose;341
FLORÍNEA;1° Dose;333
MARIÁPOLIS;1° Dose;343
TORRE DE PEDRA;1° Dose;367
PRATÂNIA;1° Dose;373
SUZANÁPOLIS;1° Dose;388
MOMBUCA;1° Dose;302
MONÇÕES;1° Dose;378
ELISIÁRIO;1° Dose;386
FLORA RICA;1° Dose;393
OSCAR BRESSANE;1° Dose;376
TURMALINA;1° Dose;389
PEDRANÓPOLIS;1° Dose;391
CAMPOS NOVOS PAULISTA;1° Dose;388
SANTA MERCEDES;1° DOSE;392
LUTÉCIA;1° Dose;378
SÃO JOSÉ DO BARREIRO;1° Dose;389
SANTA ERNESTINA;1° Dose;400
MIRA ESTRELA;1° Dose;390
CÂNDIDO RODRIGUES;1° Dose;408
CAIABU;1° Dose;402
GUZOLÂNDIA;1° Dose;416
RUBINÉIA;1° Dose;383
PEDRINHAS PAULISTA;1° Dose;397
SÃO FRANCISCO;1° Dose;432
TIMBURI;1° Dose;416
REDENÇÃO DA SERRA;1° Dose;414
PONGAÍ;1° Dose;413
RIBEIRA;1° Dose;419
