Ds Municipio Maiusc;Dose;Contagem de Id Vacinacao
MARINÓPOLIS;2° Dose;94
TAQUARIVAÍ;2° Dose;95
MOTUCA;2° Dose;80
ALVINLÂNDIA;2° Dose;87
CORUMBATAÍ;2° Dose;110
JERIQUARA;2° Dose;86
MARAPOAMA;2° Dose;107
SÃO JOÃO DO PAU D'ALHO;2° Dose;79
FLORÍNEA;2° Dose;114
CÁSSIA DOS COQUEIROS;2° Dose;84
NIPOÃ;2° Dose;71
PARISI;2° Dose;82
SANTA RITA D'OESTE;2° Dose;77
MARIÁPOLIS;2° Dose;97
RUBINÉIA;2° Dose;80
SUZANÁPOLIS;2° Dose;78
ELISIÁRIO;2° Dose;99
PEDRANÓPOLIS;2° Dose;99
ITAJU;2° Dose;95
AREIAS;2° Dose;130
CÂNDIDO RODRIGUES;2° Dose;105
LOURDES;2° Dose;94
PEDRINHAS PAULISTA;2° Dose;94
LUTÉCIA;2° Dose;112
OSCAR BRESSANE;2° Dose;73
MIRA ESTRELA;2° Dose;94
TORRE DE PEDRA;2° Dose;99
RIBEIRA;2° Dose;100
MARABÁ PAULISTA;2° Dose;83
SANTA ERNESTINA;2° Dose;104
SÃO JOSÉ DO BARREIRO;2° Dose;104
TURMALINA;2° Dose;91
SANTA MERCEDES;2° Dose;104
SEBASTIANÓPOLIS DO SUL;2° Dose;97
MONÇÕES;2° Dose;104
ALTAIR;2° Dose;125
TIMBURI;2° Dose;97
UBARANA;2° Dose;108
SÃO FRANCISCO;2° Dose;87
FLORA RICA;2° Dose;96
OCAUÇU;2° Dose;92
SANTO EXPEDITO;2° Dose;118
CABRÁLIA PAULISTA;2° Dose;119
SANTÓPOLIS DO AGUAPEÍ;2° Dose;122
SALTO GRANDE;2° Dose;57
ALAMBARI;2° Dose;112
LAVRINHAS;2° Dose;97
REDENÇÃO DA SERRA;2° Dose;113
PARANAPUÃ;2° Dose;87
CAIABU;2° Dose;112
SARUTAIÁ;2° Dose;134
NARANDIBA;2° Dose;129
EMILIANÓPOLIS;2° Dose;99
GUZOLÂNDIA;2° Dose;95
ONDA VERDE;2° Dose;107
SANTA MARIA DA SERRA;2° Dose;139
ANHEMBI;2° Dose;105
BARÃO DE ANTONINA;2° Dose;134
RIBEIRÃO DO SUL;2° Dose;134
COROADOS;2° Dose;104
LUPÉRCIO;2° Dose;105
LUIZIÂNIA;2° Dose;109
JAMBEIRO;2° Dose;158
CAMPOS NOVOS PAULISTA;2° Dose;109
GASTÃO VIDIGAL;2° Dose;110
ITAPURA;2° Dose;128
ANALÂNDIA;2° Dose;96
GAVIÃO PEIXOTO;2° Dose;115
IPEÚNA;2° Dose;122
ORINDIÚVA;2° Dose;147
FLOREAL;2° Dose;111
PLANALTO;2° Dose;123
UBIRAJARA;2° Dose;133
GLICÉRIO;2° Dose;140
MERIDIANO;2° Dose;125
ARAMINA;2° Dose;116
CAMPINA DO MONTE ALEGRE;2° Dose;123
INÚBIA PAULISTA;2° Dose;134
MAGDA;2° Dose;118
ADOLFO;2° Dose;166
IPIGUÁ;2° Dose;110
MIRASSOLÂNDIA;2° Dose;132
MONTEIRO LOBATO;2° Dose;130
RIBEIRÃO DOS ÍNDIOS;2° Dose;121
ARCO-ÍRIS;2° Dose;207
IARAS;2° Dose;138
PONGAÍ;2° Dose;120
ÁLVARES FLORENCE;2° Dose;111
SANTA LÚCIA;2° Dose;89
SALMOURÃO;2° Dose;128
BORACÉIA;2° Dose;120
DOBRADA;2° Dose;127
PAULICÉIA;2° Dose;131
ARANDU;2° Dose;126
ANHUMAS;2° Dose;129
MONTE CASTELO;2° Dose;142
ITAOCA;2° Dose;201
BURITIZAL;2° Dose;160
RESTINGA;2° Dose;165
RIVERSUL;2° Dose;132
RIBEIRÃO GRANDE;2° Dose;119
ESTIVA GERBI;2° Dose;151
PEDRA BELA;2° Dose;134
CORONEL MACEDO;2° Dose;134
NOVA CAMPINA;2° Dose;148
INDIANA;2° Dose;146
MURUTINGA DO SUL;2° Dose;158
SÃO PEDRO DO TURVO;2° Dose;114
SILVEIRAS;2° Dose;173
ALTO ALEGRE;2° Dose;100
SANTO ANTÔNIO DO PINHAL;2° Dose;184
CAIUÁ;2° Dose;166
POPULINA;2° Dose;164
SÃO JOSÉ DA BELA VISTA;2° Dose;179
LAVÍNIA;2° Dose;165
GUAIMBÊ;2° Dose;171
RAFARD;2° Dose;124
TACIBA;2° Dose;147
COLÔMBIA;2° Dose;214
PARDINHO;2° Dose;136
CLEMENTINA;2° Dose;168
MENDONÇA;2° Dose;235
VISTA ALEGRE DO ALTO;2° Dose;174
GUARANTÃ;2° Dose;178
LAGOINHA;2° Dose;179
ITIRAPUÃ;2° Dose;144
GUATAPARÁ;2° Dose;137
INDIAPORÃ;2° Dose;157
PIACATU;2° Dose;160
AREIÓPOLIS;2° Dose;226
NATIVIDADE DA SERRA;2° Dose;170
SARAPUÍ;2° Dose;150
JABORANDI;2° Dose;179
TAPIRAÍ;2° Dose;180
BARBOSA;2° Dose;201
TARABAI;2° Dose;180
ÁGUAS DE SANTA BÁRBARA;2° Dose;177
PALMARES PAULISTA;2° Dose;178
IACRI;2° Dose;192
SALTINHO;2° Dose;180
TUIUTI;2° Dose;163
DUMONT;2° Dose;175
AMÉRICO DE CAMPOS;2° Dose;189
CHAVANTES;2° Dose;230
SANTA CRUZ DA CONCEIÇÃO;2° Dose;194
ÁGUAS DE SÃO PEDRO;2° Dose;204
RIOLÂNDIA;2° Dose;191
ECHAPORÃ;2° Dose;215
RINÓPOLIS;2° Dose;274
APARECIDA D'OESTE;2° Dose;194
TRÊS FRONTEIRAS;2° Dose;179
ALFREDO MARCONDES;2° Dose;205
PIQUEROBI;2° Dose;194
CRISTAIS PAULISTA;2° Dose;219
EUCLIDES DA CUNHA PAULISTA;2° Dose;212
SALES;2° Dose;173
PARAÍSO;2° Dose;214
PEREIRAS;2° Dose;158
ORIENTE;2° Dose;164
SANTO ANTÔNIO DO JARDIM;2° Dose;173
ROSEIRA;2° Dose;210
BOFETE;2° Dose;186
CATIGUÁ;2° Dose;138
QUINTANA;2° Dose;211
VARGEM;2° Dose;128
SANTO ANTÔNIO DO ARACANGUÁ;2° Dose;173
BRAÚNA;2° Dose;248
IRAPUÃ;2° Dose;218
TAIÚVA;2° Dose;221
LINDÓIA;2° Dose;206
NOVA ALIANÇA;2° Dose;226
NOVA EUROPA;2° Dose;213
SANTO ANTÔNIO DA ALEGRIA;2° Dose;210
REGINÓPOLIS;2° Dose;213
HERCULÂNDIA;2° Dose;206
ITOBI;2° Dose;210
SANTA ALBERTINA;2° Dose;232
POLONI;2° Dose;178
QUELUZ;2° Dose;214
TAIAÇU;2° Dose;216
IBIRAREMA;2° Dose;240
FERNANDO PRESTES;2° Dose;208
GUAIÇARA;2° Dose;202
GÁLIA;2° Dose;307
IPORANGA;2° Dose;371
IRAPURU;2° Dose;185
NUPORANGA;2° Dose;274
AVANHANDAVA;2° Dose;230
ICÉM;2° Dose;238
LUÍS ANTÔNIO;2° Dose;273
PIQUETE;2° Dose;249
AREALVA;2° Dose;244
JACI;2° Dose;341
MONTE ALEGRE DO SUL;2° Dose;227
IGARATÁ;2° Dose;242
RINCÃO;2° Dose;289
CAFELÂNDIA;2° Dose;130
SERRA AZUL;2° Dose;295
SUD MENNUCCI;2° Dose;256
ILHA COMPRIDA;2° Dose;224
PEDRO DE TOLEDO;2° Dose;238
DOURADO;2° Dose;300
SÃO LOURENÇO DA SERRA;2° Dose;208
ELIAS FAUSTO;2° Dose;259
TAGUAÍ;2° Dose;243
PRADÓPOLIS;2° Dose;277
ALUMÍNIO;2° Dose;272
SETE BARRAS;2° Dose;231
VALENTIM GENTIL;2° Dose;275
GUARACI;2° Dose;289
MANDURI;2° Dose;226
MACAUBAL;2° Dose;286
COSMORAMA;2° Dose;238
PAULO DE FARIA;2° Dose;349
CHARQUEADA;2° Dose;283
GUAREÍ;2° Dose;285
RIBEIRÃO BONITO;2° Dose;323
SALESÓPOLIS;2° Dose;263
BOA ESPERANÇA DO SUL;2° Dose;291
CAPELA DO ALTO;2° Dose;270
ARIRANHA;2° Dose;313
SÃO LUIZ DO PARAITINGA;2° Dose;274
HOLAMBRA;2° Dose;302
GETULINA;2° Dose;260
AVAÍ;2° Dose;484
IEPÊ;2° Dose;295
BÁLSAMO;2° Dose;309
COLINA;2° Dose;307
TARUMÃ;2° Dose;311
MORUNGABA;2° Dose;287
BURI;2° Dose;265
MINEIROS DO TIETÊ;2° Dose;273
ÁGUAS DA PRATA;2° Dose;261
SÃO BENTO DO SAPUCAÍ;2° Dose;330
RIBEIRÃO BRANCO;2° Dose;303
CANANÉIA;2° Dose;323
PORANGABA;2° Dose;221
SEVERÍNIA;2° Dose;350
OURO VERDE;2° Dose;320
BILAC;2° Dose;311
CAJOBI;2° Dose;329
BOCAINA;2° Dose;331
TERRA ROXA;2° Dose;303
SALES OLIVEIRA;2° Dose;338
ESTRELA D'OESTE;2° Dose;315
TORRINHA;2° Dose;369
GUARAÇAÍ;2° Dose;313
IACANGA;2° Dose;292
ENGENHEIRO COELHO;2° Dose;363
GUAPIARA;2° Dose;315
IPUÃ;2° Dose;347
ITAPUÍ;2° Dose;319
MARACAÍ;2° Dose;300
ARAÇARIGUAMA;2° Dose;305
OUROESTE;2° Dose;341
PACAEMBU;2° Dose;272
SANTA BRANCA;2° Dose;319
ITARIRI;2° Dose;305
PIRAPORA DO BOM JESUS;2° Dose;359
CESÁRIO LANGE;2° Dose;357
CEDRAL;2° Dose;443
PALMEIRA D'OESTE;2° Dose;328
BANANAL;2° Dose;330
IGARAÇU DO TIETÊ;2° Dose;307
CARDOSO;2° Dose;340
PARAPUÃ;2° Dose;317
SÃO SEBASTIÃO DA GRAMA;2° Dose;352
JACUPIRANGA;2° Dose;333
BARRA DO TURVO;2° Dose;494
PINHALZINHO;2° Dose;335
FLÓRIDA PAULISTA;2° Dose;376
POTIM;2° Dose;474
PIRANGI;2° Dose;357
JUQUIÁ;2° Dose;273
JOANÓPOLIS;2° Dose;372
TAPIRATIBA;2° Dose;378
PATROCÍNIO PAULISTA;2° Dose;416
QUATÁ;2° Dose;419
SÃO SIMÃO;2° Dose;366
PEDREGULHO;2° Dose;437
TABAPUÃ;2° Dose;440
TABATINGA;2° Dose;371
URÂNIA;2° Dose;418
SANTA GERTRUDES;2° Dose;524
IPAUSSU;2° Dose;359
ITATINGA;2° Dose;338
PANORAMA;2° Dose;366
VERA CRUZ;2° Dose;329
MIRACATU;2° Dose;362
PALESTINA;2° Dose;405
NAZARÉ PAULISTA;2° Dose;314
ITIRAPINA;2° Dose;471
BORBOREMA;2° Dose;378
IBIRÁ;2° Dose;392
NEVES PAULISTA;2° Dose;389
ITAPORANGA;2° Dose;398
UCHOA;2° Dose;367
URUPÊS;2° Dose;418
ITABERÁ;2° Dose;365
BOM JESUS DOS PERDÕES;2° Dose;349
PARAIBUNA;2° Dose;433
ALTINÓPOLIS;2° Dose;452
PARANAPANEMA;2° Dose;495
SANTO ANTÔNIO DE POSSE;2° Dose;468
BURITAMA;2° Dose;473
ANGATUBA;2° Dose;397
GENERAL SALGADO;2° Dose;451
IPERÓ;2° Dose;408
AURIFLAMA;2° Dose;393
ITAJOBI;2° Dose;429
BERNARDINO DE CAMPOS;2° Dose;406
MACATUBA;2° Dose;486
CACONDE;2° Dose;326
NHANDEARA;2° Dose;407
CONCHAS;2° Dose;420
ÁGUAS DE LINDÓIA;2° Dose;415
BADY BASSITT;2° Dose;602
DUARTINA;2° Dose;463
GUAPIAÇU;2° Dose;495
POTIRENDABA;2° Dose;446
IRACEMÁPOLIS;2° Dose;514
VIRADOURO;2° Dose;398
CONCHAL;2° Dose;486
CAJATI;2° Dose;401
MONTE AZUL PAULISTA;2° Dose;482
REGENTE FEIJÓ;2° Dose;474
MIRANTE DO PARANAPANEMA;2° Dose;590
PIRATININGA;2° Dose;599
PINDORAMA;2° Dose;565
SANTA ADÉLIA;2° Dose;507
NOVA GRANADA;2° Dose;576
APIAÍ;2° Dose;491
CUNHA;2° Dose;441
BROTAS;2° Dose;576
SANTA ROSA DE VITERBO;2° Dose;426
GUARÁ;2° Dose;633
BASTOS;2° Dose;535
CORDEIRÓPOLIS;2° Dose;379
DIVINOLÂNDIA;2° Dose;490
ITAÍ;2° Dose;483
BARRINHA;2° Dose;536
FARTURA;2° Dose;513
CERQUEIRA CÉSAR;2° Dose;542
CASTILHO;2° Dose;604
TEODORO SAMPAIO;2° Dose;545
BIRITIBA MIRIM;2° Dose;431
ROSANA;2° Dose;544
MIGUELÓPOLIS;2° Dose;527
TAMBAÚ;2° Dose;627
SERRANA;2° Dose;518
LUCÉLIA;2° Dose;627
PIEDADE;2° Dose;323
CRAVINHOS;2° Dose;576
PIRACAIA;2° Dose;585
IBATÉ;2° Dose;549
JARINU;2° Dose;563
CABREÚVA;2° Dose;590
CERQUILHO;2° Dose;534
PILAR DO SUL;2° Dose;630
PIRAPOZINHO;2° Dose;618
GUARIBA;2° Dose;710
PRESIDENTE BERNARDES;2° Dose;703
JUQUITIBA;2° Dose;721
JUNQUEIRÓPOLIS;2° Dose;728
ARAÇOIABA DA SERRA;2° Dose;556
ÁLVARES MACHADO;2° Dose;559
PIRAJUÍ;2° Dose;582
RIO DAS PEDRAS;2° Dose;558
GUARAREMA;2° Dose;724
BRODOWSKI;2° Dose;788
IGARAPAVA;2° Dose;767
TAQUARITUBA;2° Dose;712
MARTINÓPOLIS;2° Dose;623
RIO GRANDE DA SERRA;2° Dose;693
SANTO ANASTÁCIO;2° Dose;724
VALPARAÍSO;2° Dose;758
TUPI PAULISTA;2° Dose;726
ITUPEVA;2° Dose;786
MORRO AGUDO;2° Dose;825
CAJURU;2° Dose;731
PONTAL;2° Dose;745
SÃO MIGUEL ARCANJO;2° Dose;665
SANTA CRUZ DAS PALMEIRAS;2° Dose;792
DOIS CÓRREGOS;2° Dose;784
PITANGUEIRAS;2° Dose;870
AGUAÍ;2° Dose;647
PALMITAL;2° Dose;646
ILHABELA;2° Dose;926
PEREIRA BARRETO;2° Dose;752
ORLÂNDIA;2° Dose;747
LARANJAL PAULISTA;2° Dose;820
POMPÉIA;2° Dose;844
CACHOEIRA PAULISTA;2° Dose;785
MONTE APRAZÍVEL;2° Dose;1031
IGUAPE;2° Dose;738
APARECIDA;2° Dose;950
JARDINÓPOLIS;2° Dose;977
CÂNDIDO MOTA;2° Dose;782
VARGEM GRANDE PAULISTA;2° Dose;1027
LOUVEIRA;2° Dose;934
SÃO PEDRO;2° Dose;752
PARIQUERA-AÇU;2° Dose;1051
ELDORADO;2° Dose;1398
MIRANDÓPOLIS;2° Dose;1004
PIRAJU;2° Dose;959
CASA BRANCA;2° Dose;1030
GUARARAPES;2° Dose;842
MAIRINQUE;2° Dose;954
SÃO MANUEL;2° Dose;814
MONTE MOR;2° Dose;774
ITARARÉ;2° Dose;879
TANABI;2° Dose;893
GUAÍRA;2° Dose;975
RANCHARIA;2° Dose;929
AMÉRICO BRASILIENSE;2° Dose;1024
SERRA NEGRA;2° Dose;876
JAGUARIÚNA;2° Dose;639
ILHA SOLTEIRA;2° Dose;927
NOVA ODESSA;2° Dose;1021
TIETÊ;2° Dose;1145
PARAGUAÇU PAULISTA;2° Dose;1054
PROMISSÃO;2° Dose;1095
BOITUVA;2° Dose;1045
ITUVERAVA;2° Dose;1303
JOSÉ BONIFÁCIO;2° Dose;951
CAPÃO BONITO;2° Dose;882
BERTIOGA;2° Dose;1222
SALTO DE PIRAPORA;2° Dose;1011
BARIRI;2° Dose;1091
ARTUR NOGUEIRA;2° Dose;1051
COSMÓPOLIS;2° Dose;960
SANTA RITA DO PASSA QUATRO;2° Dose;1126
PEDERNEIRAS;2° Dose;1048
SANTA ISABEL;2° Dose;1185
CAJAMAR;2° Dose;864
OSVALDO CRUZ;2° Dose;1187
PRESIDENTE EPITÁCIO;2° Dose;1032
CAPIVARI;2° Dose;1173
CAMPO LIMPO PAULISTA;2° Dose;1384
PORTO FELIZ;2° Dose;1256
CAMPOS DO JORDÃO;2° Dose;1325
BARRA BONITA;2° Dose;1239
MONGAGUÁ;2° Dose;861
SOCORRO;2° Dose;1052
NOVO HORIZONTE;2° Dose;1206
DESCALVADO;2° Dose;1179
ITÁPOLIS;2° Dose;1301
PEDREIRA;2° Dose;1132
BATATAIS;2° Dose;1486
AGUDOS;2° Dose;1218
ARUJÁ;2° Dose;1377
JANDIRA;2° Dose;1103
GARÇA;2° Dose;1484
PORTO FERREIRA;2° Dose;1081
EMBU-GUAÇU;2° Dose;1347
TREMEMBÉ;2° Dose;1828
SANTA FÉ DO SUL;2° Dose;1338
SÃO JOAQUIM DA BARRA;2° Dose;2107
VARGEM GRANDE DO SUL;2° Dose;1594
SANTA CRUZ DO RIO PARDO;2° Dose;1446
PERUÍBE;2° Dose;1456
MIRASSOL;2° Dose;1559
VÁRZEA PAULISTA;2° Dose;1424
IBIÚNA;2° Dose;1458
SÃO JOSÉ DO RIO PARDO;2° Dose;1382
PRESIDENTE VENCESLAU;2° Dose;1437
ESPÍRITO SANTO DO PINHAL;2° Dose;1600
ADAMANTINA;2° Dose;1557
MONTE ALTO;2° Dose;1526
OLÍMPIA;2° Dose;1656
LENÇÓIS PAULISTA;2° Dose;1615
IBITINGA;2° Dose;1782
VOTORANTIM;2° Dose;1961
VINHEDO;2° Dose;1936
SÃO SEBASTIÃO;2° Dose;1854
REGISTRO;2° Dose;1979
MAIRIPORÃ;2° Dose;1680
ANDRADINA;2° Dose;2260
CRUZEIRO;2° Dose;2130
ITAPIRA;2° Dose;1887
UBATUBA;2° Dose;2171
TAQUARITINGA;2° Dose;2275
CAÇAPAVA;2° Dose;2192
CAIEIRAS;2° Dose;1931
PAULÍNIA;2° Dose;2080
JABOTICABAL;2° Dose;2037
POÁ;2° Dose;2783
MATÃO;2° Dose;2202
BEBEDOURO;2° Dose;1641
PENÁPOLIS;2° Dose;2078
SÃO ROQUE;2° Dose;1713
DRACENA;2° Dose;2473
SANTANA DE PARNAÍBA;2° Dose;2372
AMPARO;2° Dose;2371
JALES;2° Dose;2100
MOCOCA;2° Dose;2314
LORENA;2° Dose;2329
FRANCISCO MORATO;2° Dose;2664
ITAPEVA;2° Dose;2368
CUBATÃO;2° Dose;1929
TUPÃ;2° Dose;2355
SALTO;2° Dose;3236
PIRASSUNUNGA;2° Dose;2323
FERRAZ DE VASCONCELOS;2° Dose;3028
BIRIGUI;2° Dose;2194
ITANHAÉM;2° Dose;2843
VALINHOS;2° Dose;2436
LEME;2° Dose;2677
MOGI MIRIM;2° Dose;3117
ITATIBA;2° Dose;3049
ITAPEVI;2° Dose;2781
AVARÉ;2° Dose;3010
SERTÃOZINHO;2° Dose;3125
LINS;2° Dose;3210
ITAPECERICA DA SERRA;2° Dose;3410
CARAGUATATUBA;2° Dose;3123
FERNANDÓPOLIS;2° Dose;3045
ITAQUAQUECETUBA;2° Dose;3282
RIBEIRÃO PIRES;2° Dose;3447
GUARATINGUETÁ;2° Dose;3633
FRANCO DA ROCHA;2° Dose;3300
OURINHOS;2° Dose;3174
TATUÍ;2° Dose;3559
SANTA BÁRBARA D'OESTE;2° Dose;3426
EMBU DAS ARTES;2° Dose;3834
PINDAMONHANGABA;2° Dose;4121
HORTOLÂNDIA;2° Dose;3674
ASSIS;2° Dose;3880
MOGI GUAÇU;2° Dose;3926
COTIA;2° Dose;4391
ARARAS;2° Dose;4014
VOTUPORANGA;2° Dose;4279
SÃO JOÃO DA BOA VISTA;2° Dose;4500
ITU;2° Dose;4399
JAÚ;2° Dose;5200
ATIBAIA;2° Dose;4903
ITAPETININGA;2° Dose;4934
BRAGANÇA PAULISTA;2° Dose;5307
BARRETOS;2° Dose;5735
CARAPICUÍBA;2° Dose;5357
SUMARÉ;2° Dose;5572
CATANDUVA;2° Dose;6043
LIMEIRA;2° Dose;3084
AMERICANA;2° Dose;6331
GUARUJÁ;2° Dose;4070
SUZANO;2° Dose;6372
TABOÃO DA SERRA;2° Dose;5799
JACAREÍ;2° Dose;5880
INDAIATUBA;2° Dose;6165
PRAIA GRANDE;2° Dose;6058
BOTUCATU;2° Dose;6292
ARAÇATUBA;2° Dose;7365
BARUERI;2° Dose;6937
TAUBATÉ;2° Dose;5130
FRANCA;2° Dose;6990
DIADEMA;2° Dose;8244
RIO CLARO;2° Dose;8385
SÃO VICENTE;2° Dose;6747
MAUÁ;2° Dose;8624
MARÍLIA;2° Dose;10063
SÃO CARLOS;2° Dose;8703
PRESIDENTE PRUDENTE;2° Dose;8343
SÃO CAETANO DO SUL;2° Dose;10638
ARARAQUARA;2° Dose;10250
MOGI DAS CRUZES;2° Dose;10097
JUNDIAÍ;2° Dose;11152
PIRACICABA;2° Dose;12106
OSASCO;2° Dose;11736
SOROCABA;2° Dose;15147
BAURU;2° Dose;16906
SÃO JOSÉ DO RIO PRETO;2° Dose;19041
SÃO JOSÉ DOS CAMPOS;2° Dose;20532
SANTO ANDRÉ;2° Dose;21384
SANTOS;2° Dose;23663
RIBEIRÃO PRETO;2° Dose;22370
GUARULHOS;2° Dose;26182
SÃO BERNARDO DO CAMPO;2° Dose;24012
CAMPINAS;2° Dose;40734
SÃO PAULO;2° Dose;339139
BORÁ;1° Dose;104
NOVA CASTILHO;1° Dose;98
SAGRES;1° Dose;135
MESÓPOLIS;1° Dose;134
TRABIJU;1° Dose;148
VITÓRIA BRASIL;1° Dose;160
URU;1° Dose;164
BOREBI;1° Dose;178
PAULISTÂNIA;1° Dose;170
SÃO JOÃO DE IRACEMA;1° Dose;170
DIRCE REIS;1° Dose;184
FERNÃO;1° Dose;179
CRUZÁLIA;1° Dose;186
JÚLIO MESQUITA;1° Dose;164
SANTANA DA PONTE PENSA;1° Dose;200
UNIÃO PAULISTA;1° Dose;186
PRACINHA;1° Dose;174
ZACARIAS;1° Dose;188
BOM SUCESSO DE ITARARÉ;1° Dose;194
GUARANI D'OESTE;1° Dose;207
SÃO JOÃO DAS DUAS PONTES;1° Dose;222
BENTO DE ABREU;1° Dose;206
QUADRA;1° Dose;217
JUMIRIM;1° Dose;205
MACEDÔNIA;1° Dose;212
SANTA CRUZ DA ESPERANÇA;1° Dose;202
ASPÁSIA;1° Dose;206
NANTES;1° Dose;206
ARAPEÍ;1° Dose;205
TAQUARAL;1° Dose;213
ITAPIRAPUÃ PAULISTA;1° Dose;215
BALBINOS;1° Dose;228
PONTES GESTAL;1° Dose;235
EMBAÚBA;1° Dose;231
GABRIEL MONTEIRO;1° Dose;240
TURIÚBA;1° Dose;225
ESPÍRITO SANTO DO TURVO;1° Dose;229
ESTRELA DO NORTE;1° Dose;240
CANITAR;1° Dose;218
SANTA CLARA D'OESTE;1° Dose;244
NOVA GUATAPORANGA;1° Dose;256
PLATINA;1° Dose;256
SANTA SALETE;1° Dose;237
NOVA CANAÃ PAULISTA;1° Dose;264
NOVAIS;1° Dose;262
ÓLEO;1° Dose;251
PONTALINDA;1° Dose;266
RIFAINA;1° Dose;265
QUEIROZ;1° Dose;229
DOLCINÓPOLIS;1° Dose;273
PRATÂNIA;1° Dose;233
RUBIÁCEA;1° Dose;241
TEJUPÁ;1° Dose;260
LUCIANÓPOLIS;1° Dose;271
JOÃO RAMALHO;1° Dose;262
MOMBUCA;1° Dose;235
NOVA INDEPENDÊNCIA;1° Dose;250
BREJO ALEGRE;1° Dose;288
SABINO;1° Dose;309
NOVA LUZITÂNIA;1° Dose;261
SANDOVALINA;1° Dose;247
CANAS;1° Dose;250
ÁLVARO DE CARVALHO;1° Dose;279
PRESIDENTE ALVES;1° Dose;269
RIBEIRÃO CORRENTE;1° Dose;239
BARRA DO CHAPÉU;1° Dose;278
MARINÓPOLIS;1° Dose;263
TAQUARIVAÍ;1° Dose;262
MOTUCA;1° Dose;281
ALVINLÂNDIA;1° Dose;276
CORUMBATAÍ;1° Dose;256
JERIQUARA;1° Dose;280
MARAPOAMA;1° Dose;259
SÃO JOÃO DO PAU D'ALHO;1° Dose;290
FLORÍNEA;1° Dose;259
CÁSSIA DOS COQUEIROS;1° Dose;291
NIPOÃ;1° Dose;306
PARISI;1° Dose;295
SANTA RITA D'OESTE;1° Dose;300
MARIÁPOLIS;1° Dose;282
RUBINÉIA;1° Dose;301
SUZANÁPOLIS;1° Dose;305
ELISIÁRIO;1° Dose;285
PEDRANÓPOLIS;1° Dose;287
ITAJU;1° Dose;293
AREIAS;1° Dose;263
CÂNDIDO RODRIGUES;1° Dose;288
LOURDES;1° Dose;299
PEDRINHAS PAULISTA;1° Dose;299
LUTÉCIA;1° Dose;288
OSCAR BRESSANE;1° Dose;328
MIRA ESTRELA;1° Dose;309
TORRE DE PEDRA;1° Dose;306
RIBEIRA;1° Dose;310
MARABÁ PAULISTA;1° Dose;333
SANTA ERNESTINA;1° Dose;312
SÃO JOSÉ DO BARREIRO;1° Dose;314
TURMALINA;1° Dose;327
SANTA MERCEDES;1° Dose;315
SEBASTIANÓPOLIS DO SUL;1° Dose;322
MONÇÕES;1° Dose;317
ALTAIR;1° Dose;298
TIMBURI;1° Dose;327
UBARANA;1° Dose;322
SÃO FRANCISCO;1° Dose;345
FLORA RICA;1° Dose;342
OCAUÇU;1° Dose;346
SANTO EXPEDITO;1° Dose;321
