Data,Receitas Orçamentárias,Previsao Inicial,Previsao Atualizada (a),Receitas Realizadas no Bimestre (b),% (b/a),Receitas Realizadas até o Bimestre (c),% (c/a),SALDO (a-c),Bimestre,Ano,tempo
dezembro 2016,ALIENAÇÃO DE BENS,"240.000,00","240.000,00","37.605,00","15,67","396.745,00","165,31","-156.745,00",06,2016,2016-12-20
dezembro 2016,Alienação de Bens Móveis,"240.000,00","240.000,00","37.605,00","15,67","206.545,00","86,06","33.455,00",06,2016,2016-12-20
dezembro 2016,Alienação de Bens Imóveis,,,,,"190.200,00",,"-190.200,00",06,2016,2016-12-20
dezembro 2016,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,06,2016,2016-12-20
dezembro 2016,TRANSFERÊNCIAS DE CAPITAL,"23.435.700,00","23.435.700,00","1.886.518,38","8,05","2.971.663,46","12,68","20.464.036,54",06,2016,2016-12-20
dezembro 2016,Transferências Intergovernamentais,"1.504.000,00","1.504.000,00","935.466,68","62,20","1.585.132,31","105,39","-81.132,31",06,2016,2016-12-20
dezembro 2016,Transferências de Instituições Privadas,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências do Exterior,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências de Pessoas,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências de Outras Instituições Públicas,,,,,,,,06,2016,2016-12-20
dezembro 2016,Transferências de Convênios,"21.931.700,00","21.931.700,00","951.051,70","4,34","1.386.531,15","6,32","20.545.168,85",06,2016,2016-12-20
dezembro 2016,Transferências para o Combate à Fome,,,,,,,,06,2016,2016-12-20
dezembro 2016,OUTRAS RECEITAS DE CAPITAL,"0,00","0,00","74.503,81",,"183.068,81",,"-183.068,81",06,2016,2016-12-20
dezembro 2016,Integralização do Capital Social,,,,,,,,06,2016,2016-12-20
dezembro 2016,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,06,2016,2016-12-20
dezembro 2016,Receitas de Capital Diversas,,,"74.503,81",,"183.068,81",,"-183.068,81",06,2016,2016-12-20
dezembro 2016,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"33.854.000,00","33.854.000,00","8.157.868,71","24,10","52.583.271,38","155,32","-18.729.271,38",06,2016,2016-12-20
dezembro 2016,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.491.062.500,00","1.491.062.500,00","255.198.630,53","17,12","1.436.294.395,55","96,33","54.768.104,45",06,2016,2016-12-20
dezembro 2016,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",06,2016,2016-12-20
dezembro 2016,Operações de Crédito Internas,"0,00","0,00","0,00",,"0,00",,"0,00",06,2016,2016-12-20
dezembro 2016,Mobiliária,,,,,,,,06,2016,2016-12-20
dezembro 2016,Contratual,,,,,,,,06,2016,2016-12-20
dezembro 2016,Operações de Crédito Externas,"0,00","0,00","0,00",,"0,00",,"0,00",06,2016,2016-12-20
dezembro 2016,Mobiliária,,,,,,,,06,2016,2016-12-20
dezembro 2016,Contratual,,,,,,,,06,2016,2016-12-20
dezembro 2016,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.491.062.500,00","1.491.062.500,00","255.198.630,53","17,12","1.436.294.395,55","96,33","54.768.104,45",06,2016,2016-12-20
dezembro 2016,DÉFICIT (VI),,,,,,,,06,2016,2016-12-20
dezembro 2016,TOTAL (VII) = (V + VI),"1.491.062.500,00","1.491.062.500,00","255.198.630,53","17,12","1.436.294.395,55","96,33","54.768.104,45",06,2016,2016-12-20
dezembro 2016,"SALDOS DE EXERCÍCIOS ANTERIORES (UTILIZADOS PARA CRÉDITOS
ADICIONAIS)",,"0,00",,,"0,00",,,06,2016,2016-12-20
dezembro 2016,Superávit Financeiro,,,,,,,,06,2016,2016-12-20
dezembro 2016,Reabertura de Créditos Adicionais,,,,,,,,06,2016,2016-12-20
outubro 2016,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.457.208.500,00","1.457.208.500,00","213.286.259,16","14,64","1.136.670.362,35","78,00","320.538.137,65",05,2016,2016-10-20
outubro 2016,RECEITAS CORRENTES,"1.423.532.800,00","1.423.532.800,00","207.500.033,97","14,58","1.126.514.089,83","79,14","297.018.710,17",05,2016,2016-10-20
outubro 2016,RECEITA TRIBUTÁRIA,"356.815.000,00","356.815.000,00","48.839.795,42","13,69","273.678.189,69","76,70","83.136.810,31",05,2016,2016-10-20
outubro 2016,Impostos,"323.600.000,00","323.600.000,00","45.886.890,59","14,18","248.637.664,59","76,83","74.962.335,41",05,2016,2016-10-20
outubro 2016,Taxas,"31.665.000,00","31.665.000,00","2.784.327,85","8,79","24.198.269,16","76,42","7.466.730,84",05,2016,2016-10-20
outubro 2016,Contribuição de Melhoria,"1.550.000,00","1.550.000,00","168.576,98","10,88","842.255,94","54,34","707.744,06",05,2016,2016-10-20
outubro 2016,RECEITA DE CONTRIBUIÇÕES,"16.927.000,00","16.927.000,00","2.764.269,28","16,33","13.362.941,63","78,94","3.564.058,37",05,2016,2016-10-20
outubro 2016,Contribuições Sociais,"16.927.000,00","16.927.000,00","2.764.269,28","16,33","13.362.941,63","78,94","3.564.058,37",05,2016,2016-10-20
outubro 2016,Contribuição de Intervenção no Domínio Econômico,,,,,,,,05,2016,2016-10-20
outubro 2016,Contribuição de Iluminação Pública,,,,,,,,05,2016,2016-10-20
outubro 2016,RECEITA PATRIMONIAL,"34.249.000,00","34.249.000,00","5.441.228,82","15,89","31.949.305,31","93,29","2.299.694,69",05,2016,2016-10-20
outubro 2016,Receitas Imobiliárias,"1.270.100,00","1.270.100,00","333.835,29","26,28","1.750.140,99","137,80","-480.040,99",05,2016,2016-10-20
outubro 2016,Receitas de Valores Mobiliários,"32.978.900,00","32.978.900,00","5.079.245,23","15,40","30.041.393,57","91,09","2.937.506,43",05,2016,2016-10-20
outubro 2016,Receita de Concessões e Permissões,,,"28.148,30",,"157.770,75",,"-157.770,75",05,2016,2016-10-20
outubro 2016,Compensações Financeiras,,,,,,,,05,2016,2016-10-20
outubro 2016,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,05,2016,2016-10-20
outubro 2016,Receita da Cessão de Direitos,,,,,,,,05,2016,2016-10-20
outubro 2016,Outras Receitas Patrimoniais,,,,,,,,05,2016,2016-10-20
outubro 2016,RECEITA AGROPECUÁRIA,"0,00","0,00","0,00",,"0,00",,"0,00",05,2016,2016-10-20
outubro 2016,Receita da Produção Vegetal,,,,,,,,05,2016,2016-10-20
outubro 2016,Receita da Produção Animal e Derivados,,,,,,,,05,2016,2016-10-20
outubro 2016,Outras Receitas Agropecuárias,,,,,,,,05,2016,2016-10-20
outubro 2016,RECEITA INDUSTRIAL,"0,00","0,00","0,00",,"0,00",,"0,00",05,2016,2016-10-20
outubro 2016,Receita da Indústria Extrativa Mineral,,,,,,,,05,2016,2016-10-20
outubro 2016,Receita da Indústria de Transformação,,,,,,,,05,2016,2016-10-20
outubro 2016,Receita da Indústria de Construção,,,,,,,,05,2016,2016-10-20
outubro 2016,Outras Receitas Industriais,,,,,,,,05,2016,2016-10-20
outubro 2016,RECEITA DE SERVIÇOS,"193.131.800,00","193.131.800,00","33.811.646,44","17,51","164.806.533,78","85,33","28.325.266,22",05,2016,2016-10-20
outubro 2016,TRANSFERÊNCIAS CORRENTES,"735.780.000,00","735.780.000,00","101.658.425,23","13,82","585.390.819,22","79,56","150.389.180,78",05,2016,2016-10-20
outubro 2016,Transferências Intergovernamentais,"716.364.000,00","716.364.000,00","99.238.836,66","13,85","569.591.937,34","79,51","146.772.062,66",05,2016,2016-10-20
outubro 2016,Transferências de Instituições Privadas,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências do Exterior,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências de Pessoas,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências de Convênios,"19.416.000,00","19.416.000,00","2.419.588,57","12,46","15.798.881,88","81,37","3.617.118,12",05,2016,2016-10-20
outubro 2016,Transferências para o Combate à Fome,,,,,,,,05,2016,2016-10-20
outubro 2016,OUTRAS RECEITAS CORRENTES,"86.630.000,00","86.630.000,00","14.984.668,78","17,30","57.326.300,20","66,17","29.303.699,80",05,2016,2016-10-20
outubro 2016,Multas e Juros de Mora,"17.371.000,00","17.371.000,00","2.876.847,14","16,56","12.810.928,78","73,75","4.560.071,22",05,2016,2016-10-20
outubro 2016,Indenizações e Restituições,"5.853.000,00","5.853.000,00","5.172.689,00","88,38","6.870.147,13","117,38","-1.017.147,13",05,2016,2016-10-20
outubro 2016,Receita da Dívida Ativa,"54.587.000,00","54.587.000,00","5.799.674,55","10,62","30.364.971,06","55,63","24.222.028,94",05,2016,2016-10-20
outubro 2016,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,05,2016,2016-10-20
outubro 2016,Receitas Correntes Diversas,"8.819.000,00","8.819.000,00","1.135.458,09","12,88","7.280.253,23","82,55","1.538.746,77",05,2016,2016-10-20
outubro 2016,RECEITAS DE CAPITAL,"33.675.700,00","33.675.700,00","5.786.225,19","17,18","10.156.272,52","30,16","23.519.427,48",05,2016,2016-10-20
outubro 2016,OPERAÇÕES DE CRÉDITO,"10.000.000,00","10.000.000,00","5.556.386,98","55,56","8.603.422,44","86,03","1.396.577,56",05,2016,2016-10-20
outubro 2016,Operações de Crédito Internas,"10.000.000,00","10.000.000,00","5.556.386,98","55,56","8.603.422,44","86,03","1.396.577,56",05,2016,2016-10-20
outubro 2016,Operações de Crédito Externas,,,,,,,,05,2016,2016-10-20
outubro 2016,ALIENAÇÃO DE BENS,"240.000,00","240.000,00","69.300,00","28,88","359.140,00","149,64","-119.140,00",05,2016,2016-10-20
outubro 2016,Alienação de Bens Móveis,"240.000,00","240.000,00","69.300,00","28,88","168.940,00","70,39","71.060,00",05,2016,2016-10-20
outubro 2016,Alienação de Bens Imóveis,"0,00",,,,"190.200,00",,"-190.200,00",05,2016,2016-10-20
outubro 2016,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,05,2016,2016-10-20
outubro 2016,TRANSFERÊNCIAS DE CAPITAL,"23.435.700,00","23.435.700,00","92.730,09","0,40","1.085.145,08","4,63","22.350.554,92",05,2016,2016-10-20
outubro 2016,Transferências Intergovernamentais,"1.504.000,00","1.504.000,00","58.400,99","3,88","649.665,63","43,20","854.334,37",05,2016,2016-10-20
outubro 2016,Transferências de Instituições Privadas,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências do Exterior,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências de Pessoas,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências de Outras Instituições Públicas,,,,,,,,05,2016,2016-10-20
outubro 2016,Transferências de Convênios,"21.931.700,00","21.931.700,00","34.329,10","0,16","435.479,45","1,99","21.496.220,55",05,2016,2016-10-20
outubro 2016,Transferências para o Combate à Fome,,,,,,,,05,2016,2016-10-20
outubro 2016,OUTRAS RECEITAS DE CAPITAL,"0,00","0,00","67.808,12",,"108.565,00",,"-108.565,00",05,2016,2016-10-20
outubro 2016,Integralização do Capital Social,,,,,,,,05,2016,2016-10-20
outubro 2016,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,05,2016,2016-10-20
outubro 2016,Receitas de Capital Diversas,,,"67.808,12",,"108.565,00",,"-108.565,00",05,2016,2016-10-20
outubro 2016,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"33.854.000,00","33.854.000,00","23.253.795,06","68,69","44.425.402,67","131,23","-10.571.402,67",05,2016,2016-10-20
outubro 2016,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.491.062.500,00","1.491.062.500,00","236.540.054,22","15,86","1.181.095.765,02","79,21","309.966.734,98",05,2016,2016-10-20
outubro 2016,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",05,2016,2016-10-20
outubro 2016,Operações de Crédito Internas,"0,00","0,00","0,00",,"0,00",,"0,00",05,2016,2016-10-20
outubro 2016,Mobiliária,,,,,,,,05,2016,2016-10-20
outubro 2016,Contratual,,,,,,,,05,2016,2016-10-20
outubro 2016,Operações de Crédito Externas,"0,00","0,00","0,00",,"0,00",,"0,00",05,2016,2016-10-20
outubro 2016,Mobiliária,,,,,,,,05,2016,2016-10-20
outubro 2016,Contratual,,,,,,,,05,2016,2016-10-20
outubro 2016,SUBTOTAL COM REFINANCIAMENTO (V) = (III + IV),"1.491.062.500,00","1.491.062.500,00","236.540.054,22","15,86","1.181.095.765,02","79,21","309.966.734,98",05,2016,2016-10-20
outubro 2016,DÉFICIT (VI),,,,,,,,05,2016,2016-10-20
outubro 2016,TOTAL (VII) = (V + VI),,,,,"1.181.095.765,02",,"-1.181.095.765,02",05,2016,2016-10-20
outubro 2016,"SALDOS DE EXERCÍCIOS ANTERIORES (UTILIZADOS PARA CRÉDITOS
ADICIONAIS)",,,,,,,,05,2016,2016-10-20
outubro 2016,Superávit Financeiro,,,,,,,,05,2016,2016-10-20
outubro 2016,Reabertura de Créditos Adicionais,,,,,,,,05,2016,2016-10-20
agosto 2016,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),"1.457.208.500,00","1.457.208.500,00","220.413.016,07","15,13","923.384.103,19","63,37","533.824.396,81",04,2016,2016-08-20
agosto 2016,RECEITAS CORRENTES,"1.423.532.800,00","1.423.532.800,00","217.327.230,48","15,27","919.014.055,86","64,56","504.518.744,14",04,2016,2016-08-20
agosto 2016,RECEITA TRIBUTÁRIA,"356.815.000,00","356.815.000,00","52.997.704,41","14,85","224.838.394,27","63,01","131.976.605,73",04,2016,2016-08-20
agosto 2016,Impostos,"323.600.000,00","323.600.000,00","47.881.810,08","14,80","202.750.774,00","62,65","120.849.226,00",04,2016,2016-08-20
agosto 2016,Taxas,"31.665.000,00","31.665.000,00","4.943.669,73","15,61","21.413.941,31","67,63","10.251.058,69",04,2016,2016-08-20
agosto 2016,Contribuição de Melhoria,"1.550.000,00","1.550.000,00","172.224,60","11,11","673.678,96","43,46","876.321,04",04,2016,2016-08-20
agosto 2016,RECEITA DE CONTRIBUIÇÕES,"16.927.000,00","16.927.000,00","2.748.941,16","16,24","10.598.672,35","62,61","6.328.327,65",04,2016,2016-08-20
agosto 2016,Contribuições Sociais,"16.927.000,00","16.927.000,00","2.748.941,16","16,24","10.598.672,35","62,61","6.328.327,65",04,2016,2016-08-20
agosto 2016,Contribuição de Intervenção no Domínio Econômico,,,,,,,,04,2016,2016-08-20
agosto 2016,Contribuição de Iluminação Pública,,,,,,,,04,2016,2016-08-20
agosto 2016,RECEITA PATRIMONIAL,"34.249.000,00","34.249.000,00","6.279.946,93","18,34","26.508.076,49","77,40","7.740.923,51",04,2016,2016-08-20
agosto 2016,Receitas Imobiliárias,"1.270.100,00","1.270.100,00","418.164,69","32,92","1.416.305,70","111,51","-146.205,70",04,2016,2016-08-20
agosto 2016,Receitas de Valores Mobiliários,"32.978.900,00","32.978.900,00","5.830.158,16","17,68","24.962.148,34","75,69","8.016.751,66",04,2016,2016-08-20
agosto 2016,Receita de Concessões e Permissões,,,"31.624,08",,"129.622,45",,"-129.622,45",04,2016,2016-08-20
agosto 2016,Compensações Financeiras,,,,,,,,04,2016,2016-08-20
agosto 2016,"Receita Decorrente do Direito de Exploração de Bens Públicos em Áreas de
Domínio Público",,,,,,,,04,2016,2016-08-20
agosto 2016,Receita da Cessão de Direitos,,,,,,,,04,2016,2016-08-20
agosto 2016,Outras Receitas Patrimoniais,,,,,,,,04,2016,2016-08-20
agosto 2016,RECEITA AGROPECUÁRIA,"0,00","0,00","0,00",,"0,00",,"0,00",04,2016,2016-08-20
agosto 2016,Receita da Produção Vegetal,,,,,,,,04,2016,2016-08-20
agosto 2016,Receita da Produção Animal e Derivados,,,,,,,,04,2016,2016-08-20
agosto 2016,Outras Receitas Agropecuárias,,,,,,,,04,2016,2016-08-20
agosto 2016,RECEITA INDUSTRIAL,"0,00","0,00","0,00",,"0,00",,"0,00",04,2016,2016-08-20
agosto 2016,Receita da Indústria Extrativa Mineral,,,,,,,,04,2016,2016-08-20
agosto 2016,Receita da Indústria de Transformação,,,,,,,,04,2016,2016-08-20
agosto 2016,Receita da Indústria de Construção,,,,,,,,04,2016,2016-08-20
agosto 2016,Outras Receitas Industriais,,,,,,,,04,2016,2016-08-20
agosto 2016,RECEITA DE SERVIÇOS,"193.131.800,00","193.131.800,00","33.426.005,45","17,31","130.994.887,34","67,83","62.136.912,66",04,2016,2016-08-20
agosto 2016,TRANSFERÊNCIAS CORRENTES,"735.780.000,00","735.780.000,00","110.952.508,56","15,08","483.732.393,99","65,74","252.047.606,01",04,2016,2016-08-20
agosto 2016,Transferências Intergovernamentais,"716.364.000,00","716.364.000,00","107.482.814,98","15,00","470.353.100,68","65,66","246.010.899,32",04,2016,2016-08-20
agosto 2016,Transferências de Instituições Privadas,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências do Exterior,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências de Pessoas,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências de Convênios,"19.416.000,00","19.416.000,00","3.469.693,58","17,87","13.379.293,31","68,91","6.036.706,69",04,2016,2016-08-20
agosto 2016,Transferências para o Combate à Fome,,,,,,,,04,2016,2016-08-20
agosto 2016,OUTRAS RECEITAS CORRENTES,"86.630.000,00","86.630.000,00","10.922.123,97","12,61","42.341.631,42","48,88","44.288.368,58",04,2016,2016-08-20
agosto 2016,Multas e Juros de Mora,"17.371.000,00","17.371.000,00","3.022.347,99","17,40","9.934.081,64","57,19","7.436.918,36",04,2016,2016-08-20
agosto 2016,Indenizações e Restituições,"5.853.000,00","5.853.000,00","94.643,55","1,62","1.697.458,13","29,00","4.155.541,87",04,2016,2016-08-20
agosto 2016,Receita da Dívida Ativa,"54.587.000,00","54.587.000,00","5.630.542,09","10,31","24.565.296,51","45,00","30.021.703,49",04,2016,2016-08-20
agosto 2016,"Receitas Decorrentes de Aportes Periódicos para Amortização de Déficit Atuarial
do RPPS",,,,,,,,04,2016,2016-08-20
agosto 2016,Receitas Correntes Diversas,"8.819.000,00","8.819.000,00","2.174.590,34","24,66","6.144.795,14","69,68","2.674.204,86",04,2016,2016-08-20
agosto 2016,RECEITAS DE CAPITAL,"33.675.700,00","33.675.700,00","3.085.785,59","9,16","4.370.047,33","12,98","29.305.652,67",04,2016,2016-08-20
agosto 2016,OPERAÇÕES DE CRÉDITO,"10.000.000,00","10.000.000,00","3.047.035,46","30,47","3.047.035,46","30,47","6.952.964,54",04,2016,2016-08-20
agosto 2016,Operações de Crédito Internas,"10.000.000,00","10.000.000,00","3.047.035,46","30,47","3.047.035,46","30,47","6.952.964,54",04,2016,2016-08-20
agosto 2016,Operações de Crédito Externas,,,,,,,,04,2016,2016-08-20
agosto 2016,ALIENAÇÃO DE BENS,"240.000,00","240.000,00","7.240,00","3,02","289.840,00","120,77","-49.840,00",04,2016,2016-08-20
agosto 2016,Alienação de Bens Móveis,"240.000,00","240.000,00","7.240,00","3,02","99.640,00","41,52","140.360,00",04,2016,2016-08-20
agosto 2016,Alienação de Bens Imóveis,,,,,"190.200,00",,"-190.200,00",04,2016,2016-08-20
agosto 2016,AMORTIZAÇÕES DE EMPRÉSTIMOS,,,,,,,,04,2016,2016-08-20
agosto 2016,TRANSFERÊNCIAS DE CAPITAL,"23.435.700,00","23.435.700,00","31.510,13","0,13","992.414,99","4,23","22.443.285,01",04,2016,2016-08-20
agosto 2016,Transferências Intergovernamentais,"1.504.000,00","1.504.000,00",,"0,00","591.264,64","39,31","912.735,36",04,2016,2016-08-20
agosto 2016,Transferências de Instituições Privadas,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências do Exterior,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências de Pessoas,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências de Outras Instituições Públicas,,,,,,,,04,2016,2016-08-20
agosto 2016,Transferências de Convênios,"21.931.700,00","21.931.700,00","31.510,13","0,14","401.150,35","1,83","21.530.549,65",04,2016,2016-08-20
agosto 2016,Transferências para o Combate à Fome,,,,,,,,04,2016,2016-08-20
agosto 2016,OUTRAS RECEITAS DE CAPITAL,"0,00","0,00","0,00",,"40.756,88",,"-40.756,88",04,2016,2016-08-20
agosto 2016,Integralização do Capital Social,,,,,,,,04,2016,2016-08-20
agosto 2016,Dív. Atv. Prov. da Amortiz. de Emp. e Financ.,,,,,,,,04,2016,2016-08-20
agosto 2016,Receitas de Capital Diversas,,,,,"40.756,88",,"-40.756,88",04,2016,2016-08-20
agosto 2016,RECEITAS (INTRA-ORÇAMENTÁRIAS) (II),"33.854.000,00","33.854.000,00","5.480.391,63","16,19","21.171.607,61","62,54","12.682.392,39",04,2016,2016-08-20
agosto 2016,SUBTOTAL DAS RECEITAS (III) = (I + II),"1.491.062.500,00","1.491.062.500,00","225.893.407,70","15,15","944.555.710,80","63,35","546.506.789,20",04,2016,2016-08-20
agosto 2016,OPERAÇÕES DE CRÉDITO/REFINANCIAMENTO (IV),"0,00","0,00","0,00",,"0,00",,"0,00",04,2016,2016-08-20
agosto 2016,Operações de Crédito Internas,"0,00","0,00","0,00",,"0,00",,"0,00",04,2016,2016-08-20
agosto 2016,Mobiliária,,,,,,,,04,2016,2016-08-20
agosto 2016,Contratual,,,,,,,,04,2016,2016-08-20
agosto 2016,Operações de Crédito Externas,"0,00","0,00","0,00",,"0,00",,"0,00",04,2016,2016-08-20
agosto 2016,Mobiliária,,,,,,,,04,2016,2016-08-20
agosto 2016,Contratual,,,,,,,,04,2016,2016-08-20
