item,preço
Chá Dr. Oetker Doces Sonhos com 10 Saquinhos - 15g,"R$ 5,08"
"Chá Camomila, Cidreira e Maracujá Leão Fuze Caixa 24g 15 Unidades","R$ 7,76"
Xicara de Café com Pires Schmidt Arizona,"R$ 11,66"
Cápsula de Café Espresso Pleno TRES - 10 cápsulas,"R$ 16,90"
"Leite Fermentado Integral Linhaça, Morango & Banana Activia Café da Manhã Pote 170g","R$ 4,01"
Leite Fermentado Integral Amaranto & Mamão Activia Café da Manhã Pote 170g,"R$ 4,01"
Cápsula de Café Espresso Vibrante TRES - 10 cápsulas,"R$ 16,90"
Cápsula de Café Espresso Supremo TRES - 10 cápsulas,"R$ 16,90"
Chocolate Amargo 60% Cacau Café Hershey's Special Dark Pacote 85g,"R$ 6,49"
Mexedor de Café Pequeno Aro 500 Unidades,"R$ 7,48"
Jogo Xicara Café com P Haus 90Ml 12 Peças,"R$ 38,41"
Vaso Moderno Japi Cafe 30x44cm,"R$ 98,43"
Xícara para Café Nadir Expresso Americano 90Ml sem Píres 1 Un,"R$ 8,55"
Bolo Chocolate Casa Suíça Café da Manhã Pacote 250g,"R$ 9,58"
Refrigerante Café Espresso Coca-Cola Lata 220ml,"R$ 1,99"
"Porta-Café 1,8l Plasútil Decora","R$ 9,52"
Filtro De Papel Melitta Brigitta 102 30 Unidades,"R$ 2,56"
Filtro De Papel Melitta Brigitta 103 30 Unidades,"R$ 2,73"
Coador de Papel 102 M&K - 30 Unidades,"R$ 2,41"
Coador de Papel 103 M&K - 30 Unidades,"R$ 2,51"
Suporte Para Filtro Melitta 102,"R$ 8,23"
Molho de Pimenta Bravo Original - 60ml,"R$ 7,69"
